       G      Bp-Rp 
  16.835      2.920 
  17.785      3.426 
  16.800      3.128 
   7.511      0.141 
  17.261      3.295 
  16.766      3.108 
  17.721      3.310 
  16.349      2.905 
  17.224      2.974 
  17.948      3.340 
  16.616      3.035 
  17.450      3.138 
  16.609      2.857 
  17.913      3.269 
  17.008      3.119 
  13.408      1.688 
  17.321      3.190 
  11.748      1.127 
  16.938      3.107 
  16.849      3.107 
  17.135      3.037 
  17.404      3.524 
  16.928      3.145 
  17.339      3.298 
  14.356      2.136 
  17.863      3.672 
  13.770      1.813 
  10.219      0.806 
  16.764      2.962 
   6.589     -0.025 
   8.744      0.492 
  17.668      3.193 
  11.988      1.214 
  16.240      2.719 
  17.569      3.265 
   9.354      0.671 
  16.958      2.899 
  17.626      3.238 
   6.789      0.065 
  17.896      3.158 
  16.725      3.097 
  17.579      3.165 
  17.732      3.290 
  17.718      3.200 
  14.186      2.097 
   8.258      0.354 
  16.862      3.116 
  17.579      3.189 
  15.925      2.751 
  16.121      2.858 
  17.550      3.122 
  16.151      2.890 
  17.439      3.147 
   9.335      0.648 
  15.746      2.520 
  16.743      2.934 
  16.236      2.645 
  17.791      3.302 
   9.986      0.746 
  16.965      3.100 
  12.295      1.287 
  14.402      2.169 
  15.062      2.487 
  15.735      2.678 
  15.525      2.593 
  16.564      2.929 
  10.720      0.909 
  15.066      2.458 
  15.087      2.452 
  16.578      2.982 
  17.091      3.075 
  15.751      2.733 
  11.470      1.064 
  15.699      2.691 
  10.929      0.957 
  17.078      3.021 
  17.623      3.118 
  16.886      2.935 
  13.462      1.723 
  13.914      1.895 
  17.800      3.055 
   6.982      0.044 
   7.183      0.042 
   9.027      0.596 
  16.124      2.792 
  14.524      2.209 
  14.017      1.983 
  16.442      2.894 
  17.419      3.248 
  17.888      3.231 
  14.631      2.257 
  17.474      3.087 
  16.997      3.025 
  15.848      2.727 
  13.743      1.847 
  13.694      1.835 
  17.481      3.188 
  17.413      3.067 
  11.256      1.066 
  16.637      2.994 
  16.465      2.964 
  15.422      2.583 
  11.418      1.041 
  16.492      3.028 
  16.492      3.020 
   8.893      0.629 
  16.489      2.763 
  10.157      0.786 
  17.216      3.077 
  10.388      0.837 
  17.126      3.017 
  10.303      0.814 
  14.195      2.052 
  16.186      2.849 
  15.498      2.666 
  11.877      1.255 
  16.333      2.728 
  16.946      3.061 
  14.965      2.431 
  16.634      2.926 
   6.798      0.107 
  16.682      3.063 
   9.006      0.624 
  17.585      3.148 
  16.489      3.011 
  11.858      1.192 
  11.829      1.155 
  17.214      3.155 
  16.777      2.998 
  16.878      3.052 
  16.042      2.832 
  16.359      2.940 
   9.496      0.674 
  14.535      2.289 
  10.297      0.829 
  17.048      3.073 
  12.343      1.341 
  13.621      1.820 
  12.516      1.448 
  15.566      2.684 
   9.428      0.722 
  16.082      2.812 
  17.072      3.103 
   8.324      0.392 
  10.748      0.895 
  17.238      2.976 
  10.343      0.840 
  16.959      3.076 
  17.513      3.071 
  17.939      3.431 
  17.054      3.143 
   9.363      0.665 
  15.554      2.634 
   7.273      0.050 
  12.736      1.444 
  16.499      2.817 
  16.892      3.054 
  17.325      3.169 
  17.467      3.251 
  13.508      1.742 
  10.866      0.932 
  11.341      1.034 
  16.004      2.840 
  16.848      2.994 
  14.476      2.230 
  13.258      1.652 
   9.300      0.665 
  17.202      2.910 
  16.917      3.099 
  15.716      2.364 
  17.584      2.995 
  17.220      3.198 
  16.543      2.832 
   7.339      0.141 
  17.007      2.882 
  10.823      0.996 
  13.503      1.726 
  12.208      1.323 
  16.518      2.914 
  17.220      3.127 
  16.262      2.768 
  14.913      2.424 
  12.748      1.475 
   7.818      0.274 
  17.176      3.097 
  11.226      1.038 
  16.330      2.943 
  16.201      2.817 
   8.082      0.281 
  17.796      3.306 
  15.276      2.502 
  17.201      3.084 
  12.462      1.380 
  13.139      1.682 
  16.605      2.916 
  15.417      2.567 
  13.322      1.693 
   9.103      0.659 
  17.814      3.439 
  11.156      1.076 
  15.725      2.729 
  15.410      2.544 
  16.864      3.134 
  15.409      2.599 
  16.140      2.843 
  15.112      2.493 
  12.372      1.306 
  16.300      2.909 
  14.476      2.205 
  11.856      1.180 
  15.032      2.372 
  16.682      2.953 
  14.238      2.106 
  16.281      2.924 
  11.219      1.023 
  16.476      2.978 
  12.633      1.482 
  16.612      2.893 
  13.132      1.596 
  16.262      2.897 
  15.094      2.377 
  14.509      2.215 
  10.203      0.848 
   9.934      0.750 
  15.752      2.753 
  10.910      0.934 
  15.346      2.511 
  16.178      2.856 
  16.819      2.956 
   9.518      0.687 
  12.466      1.382 
  13.716      1.832 
   8.877      0.555 
  16.533      2.903 
  17.131      3.231 
  16.728      2.951 
  13.112      1.613 
  16.828      2.817 
  12.866      1.562 
  14.102      2.040 
   9.427      0.688 
  13.761      1.868 
  14.689      2.299 
   9.288      0.649 
  16.413      2.913 
  15.890      2.733 
   7.532      0.097 
  17.824      3.133 
  13.432      1.725 
  17.166      3.075 
  12.386      1.352 
  12.844      1.548 
  16.115      2.776 
  16.315      2.907 
  16.092      2.849 
  16.958      3.156 
  17.454      3.232 
  17.430      3.216 
  16.400      2.959 
  17.342      3.249 
  15.998      2.835 
  16.552      2.917 
  13.716      1.850 
  14.020      1.981 
  10.211      0.796 
   9.563      0.691 
  16.936      3.054 
   8.289      0.375 
  11.690      1.130 
  14.259      2.119 
  17.228      2.974 
  13.154      1.612 
  15.094      2.454 
  15.988      2.778 
  15.406      2.538 
  11.310      1.057 
  11.310      1.083 
  13.518      1.772 
  17.169      3.167 
  17.283      3.158 
  17.728      3.272 
  17.553      3.127 
  16.772      3.078 
  15.334      2.555 
  17.876      3.268 
  17.191      3.096 
  17.554      3.411 
  13.992      1.928 
  12.558      1.492 
  14.206      2.139 
  15.813      2.728 
  15.112      2.402 
  13.823      1.875 
  17.229      3.201 
  15.290      2.524 
  11.734      1.223 
  16.277      2.888 
  16.681      2.958 
  17.270      3.146 
  14.508      2.206 
  17.066      3.132 
  15.065      2.435 
  16.198      2.893 
  17.257      2.986 
  13.872      1.950 
   7.787      0.257 
  14.038      2.009 
  16.503      2.949 
  14.344      2.150 
  17.678      3.164 
  16.569      2.917 
  15.459      2.533 
  16.414      2.933 
  16.770      2.895 
  17.377      3.189 
  15.796      2.786 
  16.040      2.774 
  17.549      3.190 
  11.438      1.122 
  13.606      1.805 
  17.490      3.174 
  17.416      2.891 
  12.389      1.368 
  17.816      3.217 
  10.102      0.808 
  11.089      1.016 
  14.527      2.223 
  15.038      2.428 
  14.819      2.343 
  16.626      2.914 
  16.283      2.920 
  15.594      2.685 
  17.080      2.992 
   9.691      0.763 
  10.399      0.853 
  15.645      2.648 
  17.489      3.285 
  10.943      0.958 
  16.999      3.150 
  13.488      1.728 
  13.858      1.900 
  17.569      3.159 
   9.368      0.652 
  16.038      2.802 
  12.096      1.246 
  10.597      0.893 
  13.240      1.654 
