       V        B-V 
  14.930      0.783 
  18.895      1.134 
  18.221      1.043 
  17.529      0.927 
  17.252      0.892 
  18.588      1.090 
  17.926      1.088 
  17.351      0.888 
  16.263      0.778 
  18.539      1.172 
  16.104      0.706 
  17.592      0.971 
  17.092      0.887 
  17.094      0.882 
  16.360      0.766 
  19.338      1.286 
  17.607      0.957 
  16.358      0.744 
  16.159      0.723 
  17.808      1.020 
  16.615      0.763 
  16.284      0.765 
  16.669      0.829 
  17.988      1.108 
  19.481      1.416 
  16.877      0.809 
  18.022      1.026 
  18.764      1.254 
  19.187      1.291 
  16.860      0.835 
  18.817      1.216 
  17.648      0.934 
  16.464      0.794 
  17.778      1.029 
  18.358      1.138 
  18.734      1.220 
  17.921      1.048 
  16.783      0.815 
  16.966      0.889 
  18.273      1.041 
  17.953      1.099 
  16.912      0.861 
  18.586      1.210 
  16.369      0.733 
  17.724      1.011 
  16.325      0.742 
  17.035      0.856 
  18.400      1.169 
  19.093      1.294 
  18.338      1.086 
  16.807      0.842 
  16.611      0.819 
  18.525      1.118 
  17.883      0.987 
  18.395      1.148 
  19.366      1.329 
  15.309      0.663 
  17.860      1.019 
  16.231      0.763 
  17.467      0.985 
  18.337      1.097 
  17.977      1.032 
  18.398      1.147 
  18.580      1.108 
  17.943      1.032 
  17.937      1.010 
  18.129      1.090 
  18.774      1.150 
  18.517      1.120 
  16.807      0.823 
  16.745      0.788 
  16.289      0.779 
  17.175      0.907 
  19.125      1.363 
  18.558      1.126 
  17.487      0.976 
  17.188      0.903 
  17.750      0.951 
  17.509      0.976 
  17.757      0.994 
  16.266      0.687 
  18.201      1.103 
  16.879      0.818 
  18.780      1.116 
  17.241      0.938 
  17.341      0.925 
  18.157      1.083 
  17.301      0.936 
  18.699      1.192 
  16.688      0.755 
  18.046      1.090 
  16.797      0.824 
  17.000      0.859 
  18.377      1.162 
  18.456      1.161 
  17.255      0.921 
  17.277      0.891 
  16.362      0.734 
  17.194      0.913 
  16.630      0.793 
  17.636      1.038 
  18.736      1.208 
  17.800      1.043 
  17.816      1.029 
  16.889      0.851 
  19.182      1.222 
  16.828      0.821 
  16.883      0.854 
  18.139      1.088 
  17.315      0.932 
  15.971      0.708 
  17.156      0.862 
  18.018      1.071 
  17.205      0.895 
  17.021      0.885 
  17.811      1.002 
  18.479      1.161 
  18.322      1.087 
  17.230      0.889 
  18.642      1.146 
  16.800      0.861 
  17.355      0.899 
  18.650      1.193 
  18.967      1.338 
  18.090      1.092 
  16.429      0.770 
  19.518      1.371 
  18.338      1.111 
  17.490      0.999 
  16.872      0.845 
  17.640      1.012 
  17.153      0.921 
  16.876      0.818 
  18.314      1.079 
  19.117      1.287 
  17.997      1.058 
  17.544      1.010 
  17.784      0.997 
  17.239      0.876 
  16.509      0.754 
  17.420      0.988 
  17.825      0.961 
  18.097      0.997 
  17.743      1.031 
  17.606      1.005 
  18.382      1.121 
  18.212      1.039 
  17.298      0.911 
  18.580      1.148 
  18.392      1.158 
  17.558      0.982 
  15.232      0.681 
  17.396      0.923 
  17.468      0.971 
  18.231      1.130 
  18.067      1.108 
  17.196      0.932 
  16.850      0.836 
  16.584      0.798 
  15.086      0.689 
  17.515      0.972 
  15.853      0.696 
  18.353      1.148 
  19.041      1.259 
  15.124      0.678 
  16.345      0.764 
  15.049      0.688 
  17.568      0.996 
  16.392      0.732 
  17.992      1.064 
  16.304      0.760 
  16.417      0.764 
  16.684      0.851 
  17.491      0.973 
  17.864      1.054 
  17.802      1.066 
  17.560      0.979 
  18.209      1.152 
  18.252      1.100 
  17.871      1.083 
  15.638      0.687 
  18.714      1.170 
  16.159      0.704 
  18.689      1.199 
  16.128      0.717 
  16.609      0.802 
  18.469      1.166 
  18.813      1.186 
  17.323      0.910 
  17.714      0.995 
  18.298      1.154 
  18.027      1.102 
  16.962      0.851 
  16.356      0.785 
  18.960      1.154 
  18.647      1.240 
  16.540      0.735 
  18.041      1.119 
  17.329      0.949 
  17.914      1.066 
  17.994      1.062 
  17.784      1.013 
  16.607      0.750 
  17.588      0.980 
  16.995      0.857 
  18.400      1.103 
  17.237      0.916 
  16.749      0.844 
  17.436      0.890 
  18.876      1.118 
  16.959      0.849 
  17.887      1.041 
  18.979      1.160 
  18.713      1.239 
  17.402      0.965 
  17.947      1.080 
  16.545      0.818 
  17.414      0.962 
  18.286      1.022 
  17.496      0.934 
  17.842      0.946 
  19.305      1.267 
  16.991      0.877 
  16.735      0.839 
  18.753      1.258 
  18.546      1.099 
  18.852      1.195 
  19.224      1.209 
  18.267      1.094 
  18.987      1.140 
  16.260      0.753 
  18.133      1.086 
  18.439      1.199 
  17.717      0.924 
  17.925      1.031 
  17.329      0.891 
  17.969      1.049 
  16.173      0.741 
  17.997      1.099 
  16.814      0.868 
  18.203      1.154 
  18.639      1.153 
  18.758      1.227 
  16.825      0.834 
  17.887      1.010 
  16.903      0.815 
  18.302      1.060 
  19.239      1.304 
  19.206      1.186 
  16.069      0.753 
  16.649      0.803 
  17.420      0.936 
  16.249      0.718 
  17.504      0.918 
  16.543      0.811 
  17.265      0.916 
  16.733      0.841 
  16.271      0.774 
  18.512      1.064 
  17.010      0.819 
  18.887      1.217 
  19.194      1.262 
  17.402      0.987 
  16.660      0.836 
  15.962      0.736 
  15.924      0.733 
  16.275      0.781 
  17.673      1.013 
  17.533      0.958 
  18.489      1.119 
  18.256      1.058 
  16.511      0.817 
  16.651      0.825 
  17.671      0.930 
  18.088      1.128 
  17.805      1.054 
  17.536      0.976 
  16.997      0.888 
  19.228      1.395 
  17.087      0.850 
  18.511      1.144 
  18.616      1.076 
  16.808      0.823 
  14.871      0.724 
  16.335      0.760 
  14.981      0.712 
  14.914      0.958 
  16.759      0.783 
  16.506      0.752 
  14.950      0.707 
  15.292      0.660 
  16.935      0.844 
  15.511      0.656 
  14.941      0.785 
  15.112      0.672 
  15.820      0.689 
  16.699      0.817 
  16.743      0.802 
  14.995      0.681 
  15.394      0.660 
  15.158      0.798 
  16.010      0.706 
  16.307      0.759 
  15.308      0.711 
  16.305      0.732 
  15.891      0.705 
  15.275      0.720 
  15.360      0.719 
  16.103      0.700 
  15.300      0.701 
  15.315      0.708 
  15.141      0.965 
  16.395      0.762 
  15.085      0.673 
  15.022      0.702 
  14.952      0.741 
  15.718      0.680 
  14.987      0.704 
  15.107      0.696 
  15.003      0.795 
  16.474      0.786 
  13.679      1.116 
  15.253      0.659 
  14.188      1.061 
  14.908      0.729 
  15.908      0.681 
  15.459      0.655 
  15.068      0.869 
  16.123      0.720 
  16.022      0.705 
  12.323      1.292 
  14.911      0.734 
  15.100      0.671 
  15.765      0.686 
  13.897      1.089 
