       V        B-V 
  15.037      0.698 
  15.841      0.680 
  15.528      0.679 
  15.956      0.734 
  16.825      0.806 
  16.777      0.840 
  14.672      1.034 
  16.377      0.803 
  15.079      0.899 
  14.970      0.694 
  15.528      0.683 
  16.436      0.766 
  16.093      0.722 
  16.650      0.810 
  15.029      0.940 
  16.394      0.749 
  14.974      0.724 
  15.250      0.707 
  15.132      0.672 
  15.199      0.674 
  15.496      0.673 
  15.178      0.713 
  16.301      0.757 
  16.908      0.797 
  15.230      0.680 
  14.875      0.697 
  15.791      0.695 
  17.394      0.967 
  17.126      0.871 
  17.094      0.875 
  17.516      0.921 
  17.021      0.869 
  17.680      0.967 
  17.116      0.873 
  17.496      0.933 
  17.335      0.896 
  18.231      1.131 
  19.229      1.199 
  17.936      1.056 
  17.072      0.921 
  17.642      0.987 
  18.874      1.309 
  17.718      1.054 
  18.273      1.117 
  18.627      1.187 
  18.315      1.110 
  17.692      0.947 
  17.664      1.013 
  17.874      0.996 
  17.680      0.965 
  18.850      1.272 
  18.987      1.264 
  18.545      1.207 
  18.317      1.155 
  17.164      0.917 
  16.738      0.832 
  15.920      0.712 
  19.159      1.278 
  15.123      0.663 
  16.006      0.715 
  15.350      0.693 
  16.181      0.745 
  15.079      0.673 
  15.331      0.688 
  16.557      0.817 
  16.181      0.751 
  15.166      1.017 
  15.910      0.731 
  15.979      0.732 
  15.215      0.675 
  15.768      0.702 
  16.512      0.812 
  16.121      0.738 
  15.046      0.691 
  15.282      0.677 
  15.886      0.712 
  15.094      0.921 
  16.316      0.747 
  15.745      0.696 
  16.123      0.726 
  15.096      0.703 
  15.879      0.716 
  16.017      0.734 
  15.519      0.683 
  15.805      0.704 
  12.968      1.167 
  14.941      0.783 
  15.835      0.684 
  15.407      0.672 
  15.405      0.691 
  16.263      0.750 
  15.299      0.689 
  14.948      0.717 
  15.170      0.697 
  16.921      0.862 
  16.570      0.775 
  15.032      0.673 
  15.349      0.697 
  14.931      0.741 
  14.922      0.716 
  15.171      0.664 
  16.813      0.862 
  12.451      1.292 
  15.049      0.682 
  15.789      0.680 
  15.697      0.692 
  15.086      0.683 
  15.730      0.692 
  14.967      0.712 
  13.010      1.208 
  15.589      0.682 
  14.934      0.757 
  16.505      0.783 
  14.997      0.821 
  16.871      0.831 
  14.991      0.718 
  15.529      0.674 
  15.998      0.706 
  16.498      0.737 
  16.738      0.809 
  14.930      0.693 
  15.552      0.660 
  15.075      0.689 
  15.163      0.664 
  16.354      0.757 
  16.090      0.720 
  16.157      0.723 
  16.473      0.806 
  15.891      0.712 
  16.036      0.711 
  16.602      0.758 
  16.254      0.737 
  14.310      0.995 
  15.899      0.694 
  14.416      1.046 
  14.912      0.735 
  16.709      0.793 
  16.367      0.755 
  15.056      0.684 
  16.851      0.838 
  16.691      0.808 
  15.260      0.659 
  16.138      0.715 
  16.802      0.805 
  16.753      0.804 
  16.366      0.754 
  15.644      0.673 
  16.077      0.679 
  16.304      0.768 
  13.678      1.091 
  14.966      0.704 
  16.070      0.695 
  16.048      0.731 
  15.952      0.690 
  15.659      0.684 
  14.849      0.730 
  15.003      0.681 
  16.837      0.800 
  16.303      0.752 
  16.619      0.789 
  16.171      0.716 
  16.542      0.790 
  15.748      0.693 
  15.527      0.677 
  15.837      0.714 
  16.435      0.770 
  15.645      0.672 
  16.365      0.773 
  16.678      0.801 
  16.147      0.717 
  15.073      0.707 
  14.078      1.077 
  16.158      0.732 
  12.157      1.310 
  16.692      0.774 
  16.291      0.744 
  15.905      0.701 
  15.567      0.666 
  14.103      1.065 
  14.975      1.011 
  15.117      0.975 
  15.076      0.718 
  15.195      0.773 
  17.559      0.930 
  17.226      0.936 
  17.095      0.901 
  17.228      0.930 
  17.004      0.870 
  17.576      1.018 
  17.050      0.862 
  16.841      0.804 
  17.794      1.004 
  16.405      0.806 
  19.193      1.229 
  17.731      1.039 
  17.822      1.011 
  15.448      0.682 
  15.051      0.995 
  17.082      0.889 
  17.579      0.996 
  16.985      0.883 
  18.586      1.079 
  17.079      0.881 
  17.713      0.939 
  18.719      1.251 
  18.675      1.117 
  18.097      1.075 
  18.499      1.096 
  19.222      1.180 
  19.073      1.204 
  17.086      0.853 
  17.373      0.923 
  19.478      1.360 
  19.424      1.362 
  15.555      0.699 
  15.301      0.688 
  15.580      0.680 
  15.534      0.682 
  15.471      0.686 
  16.828      0.831 
  16.617      0.782 
  16.772      0.831 
  15.035      0.826 
  13.178      1.066 
  15.464      0.672 
  17.002      0.872 
  15.288      0.692 
  16.380      0.751 
  14.873      1.008 
  16.996      0.851 
  16.102      0.728 
  15.381      0.681 
  16.605      0.772 
  17.074      0.898 
  15.564      0.682 
  14.561      1.038 
  16.678      0.792 
  15.139      0.915 
  16.014      0.722 
  15.580      0.676 
  15.252      0.937 
  15.048      0.862 
  15.414      0.683 
  14.475      1.028 
  15.025      0.696 
  14.949      0.736 
  15.684      0.693 
  15.347      0.667 
  13.390      1.155 
  15.994      0.720 
  16.215      0.752 
  15.949      0.713 
  14.857      0.728 
  15.556      0.683 
  15.012      0.703 
  14.484      1.006 
  14.994      0.709 
  15.486      0.705 
  16.202      0.738 
  16.378      0.765 
  14.954      0.798 
  15.250      0.669 
  16.175      0.720 
  16.317      0.748 
  16.479      0.765 
  16.033      0.735 
  15.350      0.671 
  15.186      0.898 
  14.880      0.660 
  16.765      0.840 
  16.061      0.705 
  14.943      0.698 
  16.298      0.728 
  15.519      0.650 
  16.197      0.724 
  15.621      0.677 
  15.962      0.737 
  16.153      0.724 
  16.552      0.802 
  15.340      0.681 
  15.058      0.676 
  15.227      0.685 
  16.595      0.795 
  15.270      0.684 
  15.036      0.714 
  14.957      0.796 
  15.707      0.689 
  15.100      0.677 
  16.232      0.732 
  16.090      0.734 
  14.878      0.679 
  15.691      0.678 
  15.994      0.702 
  16.552      0.774 
  13.945      1.047 
  15.835      0.678 
  15.825      0.692 
  15.856      0.695 
  15.000      0.687 
  15.123      0.680 
  15.799      0.686 
  14.389      1.060 
  16.452      0.800 
  16.167      0.724 
  15.489      0.688 
  15.738      0.706 
  17.003      0.873 
  17.023      0.850 
  17.225      0.953 
  17.535      0.963 
  19.483      1.323 
  19.260      1.256 
  18.158      1.018 
  18.045      1.082 
  17.076      0.863 
  17.932      1.018 
  19.046      1.360 
  17.919      1.045 
  17.092      0.894 
  17.305      0.921 
  17.571      0.911 
  17.004      0.895 
  17.672      0.975 
  16.976      0.841 
  16.954      0.867 
  15.131      0.686 
  15.228      0.755 
  18.871      1.272 
  14.951      0.706 
  14.934      0.696 
  14.477      1.050 
  14.988      0.843 
  15.044      0.804 
  15.247      0.654 
  14.947      0.704 
  15.015      0.660 
  14.800      1.032 
  14.959      0.714 
  14.974      0.680 
  15.026      0.725 
  12.930      1.198 
  13.410      1.165 
  15.122      0.684 
  15.089      0.779 
  15.426      0.696 
  15.654      0.675 
  14.814      1.005 
  15.180      0.933 
  15.319      0.672 
  15.476      0.673 
  15.323      0.673 
  14.967      1.017 
  15.875      0.697 
  15.455      0.707 
  15.140      0.907 
  15.804      0.685 
  16.013      0.736 
  15.453      0.686 
  14.966      1.031 
  15.056      0.675 
  15.718      0.670 
  16.134      0.730 
  15.941      0.719 
  14.953      1.001 
  15.777      0.668 
  15.133      0.947 
  14.927      0.800 
  15.546      0.672 
  15.186      0.917 
  15.629      0.686 
  15.841      0.706 
  15.206      0.933 
  15.555      0.706 
  16.075      0.723 
  15.782      0.684 
  16.296      0.785 
  15.531      0.693 
  15.325      0.681 
  15.795      0.702 
  15.141      0.957 
  15.229      0.688 
  14.914      0.708 
  15.591      0.701 
  15.748      0.692 
  12.961      1.207 
  15.055      0.708 
  15.314      0.725 
  15.819      0.719 
  15.368      0.695 
  15.165      0.675 
  16.067      0.703 
  15.618      0.668 
  15.515      0.699 
  15.558      0.695 
  15.857      0.703 
