       V        B-V 
  19.707      1.070 
  18.024      0.911 
  19.726      1.153 
  17.466      0.996 
  18.234      0.881 
  17.708      0.857 
  17.460      0.849 
  19.972      1.079 
  18.780      1.007 
  18.387      0.901 
  17.593      0.822 
  18.745      0.902 
  14.719      1.295 
  18.979      0.898 
  17.460      0.856 
  17.409      0.927 
  18.700      0.951 
  17.310      0.885 
  17.455      0.882 
  18.243      0.869 
  19.696      1.159 
  19.101      0.911 
  14.670      1.331 
  19.720      1.099 
  17.968      0.847 
  19.426      0.986 
  19.269      1.045 
  18.488      0.813 
  17.529      0.857 
  19.337      0.936 
  18.198      0.842 
  17.692      0.803 
  17.720      0.827 
  17.642      0.803 
  17.272      1.033 
  18.395      0.866 
  17.444      0.863 
  19.242      0.925 
  18.003      0.841 
  19.543      1.166 
  18.210      0.849 
  19.861      1.177 
  19.197      0.879 
  18.786      0.837 
  18.264      0.827 
  18.447      0.963 
  18.794      0.968 
  19.843      1.031 
  18.233      0.908 
  17.492      0.862 
  18.666      0.899 
  19.729      1.037 
  17.164      1.141 
  19.079      1.000 
  17.485      0.875 
  18.841      0.857 
  19.632      1.114 
  17.782      0.811 
  17.358      0.873 
  18.661      0.894 
  19.572      1.209 
  13.892      1.620 
  17.476      0.825 
  19.710      1.054 
  18.475      0.882 
  17.511      0.866 
  19.255      0.962 
  14.589      1.424 
  19.582      1.022 
  15.391      1.312 
  17.161      1.109 
  18.679      0.997 
  17.485      0.843 
  18.414      0.875 
  19.606      1.037 
  18.970      1.060 
  18.014      0.866 
  17.432      0.999 
  17.611      0.834 
  18.475      0.860 
  17.456      0.838 
  17.467      1.019 
  17.670      0.879 
  17.444      0.945 
  19.599      1.079 
  18.189      0.943 
  18.253      0.893 
  17.153      1.143 
  19.581      1.082 
  19.298      1.020 
  17.400      0.943 
  19.896      1.152 
  19.988      1.009 
  18.339      0.886 
  19.269      1.022 
  19.657      1.054 
  18.991      0.897 
  18.432      0.881 
  19.156      0.991 
  18.809      0.911 
  18.639      0.902 
  18.135      0.843 
  17.493      0.883 
  18.503      0.895 
  19.455      1.052 
  17.228      1.127 
  17.745      0.866 
  18.817      0.926 
  18.353      0.887 
  17.337      0.905 
  14.559      1.466 
  18.095      0.834 
  17.711      0.867 
  18.630      0.895 
  18.033      0.832 
  18.873      0.906 
  19.846      1.074 
  19.365      1.146 
  19.326      1.063 
  19.086      0.943 
  19.914      1.066 
  17.869      0.855 
  19.074      1.026 
  18.053      0.842 
  17.652      0.822 
  17.345      0.921 
  16.702      1.140 
  17.635      0.855 
  18.013      0.937 
  17.893      0.854 
  17.905      0.809 
  18.245      0.849 
  18.981      0.959 
  17.295      0.838 
  18.531      0.805 
  18.427      0.894 
  19.908      1.143 
  17.863      0.834 
  15.145      1.337 
  17.364      0.910 
  18.542      0.887 
  19.685      1.116 
  17.460      0.984 
  17.357      0.881 
  17.748      0.726 
  18.754      0.917 
  18.336      0.991 
  18.538      0.862 
  19.461      1.063 
  18.244      0.953 
  18.865      0.975 
  18.573      0.870 
  19.239      0.955 
  18.807      0.962 
  17.300      0.875 
  18.339      0.924 
  19.885      1.193 
  18.380      0.834 
  18.463      0.999 
  19.125      0.926 
  19.425      1.083 
  17.519      0.812 
  17.521      0.851 
  18.768      0.920 
  19.341      0.978 
  18.166      0.874 
  17.880      0.869 
  18.897      0.930 
  16.129      1.201 
  18.790      0.942 
  17.889      0.810 
  17.459      0.860 
  17.565      0.876 
  18.052      0.876 
  18.114      0.953 
  17.365      0.880 
  19.669      1.079 
  17.455      0.887 
  16.884      1.175 
  17.579      0.976 
  18.086      0.859 
  17.900      0.794 
  18.281      0.920 
  17.795      0.875 
  18.848      0.991 
  18.081      0.806 
  19.771      1.152 
  16.747      1.159 
  18.627      0.818 
  19.753      1.149 
  19.860      1.046 
  18.478      0.855 
  18.426      0.948 
  18.590      0.888 
  14.543      1.350 
  19.556      0.999 
  17.672      0.861 
  19.072      1.018 
  18.147      0.856 
  19.949      1.070 
  17.417      0.805 
  19.125      1.012 
  19.196      1.042 
  15.679      1.270 
  18.193      0.908 
  19.856      1.085 
  18.067      0.913 
  15.282      1.286 
  17.178      1.154 
  18.621      1.015 
  17.483      0.873 
  14.161      1.541 
  18.128      0.829 
  19.367      0.930 
  16.734      1.244 
  18.991      0.889 
  18.298      0.758 
  18.022      0.932 
  17.209      1.171 
  19.280      1.103 
  18.627      0.904 
  18.650      0.980 
  15.251      1.305 
  18.905      0.861 
  18.300      0.963 
  18.566      0.838 
  19.556      1.205 
  17.463      0.881 
  17.577      0.829 
  18.877      0.927 
  16.415      1.223 
  17.576      0.881 
  18.116      0.780 
  17.268      0.856 
  17.380      0.919 
  19.319      0.999 
  18.905      0.981 
  17.911      0.836 
  17.423      0.836 
  18.849      0.901 
  19.032      0.997 
