       G      Bp-Rp 
  14.397      0.864 
  12.399      0.341 
  16.958      1.684 
  16.225      1.412 
  17.106      1.809 
  16.863      1.601 
  14.850      1.036 
  16.720      1.550 
  17.341      1.795 
  16.344      1.508 
  15.795      1.144 
  14.668      0.952 
  15.627      1.234 
  13.081      0.435 
  13.907      0.831 
  17.610      1.928 
  15.534      1.224 
  13.204      0.490 
  17.526      1.918 
  12.331      0.306 
  16.941      1.575 
  13.686      0.701 
  12.456      0.256 
  15.499      1.107 
  16.682      1.429 
   9.078      0.052 
  17.365      1.817 
  13.528      0.585 
  16.288      1.438 
  17.858      2.116 
  16.460      1.403 
  15.167      1.091 
  13.413      0.603 
  17.117      1.722 
  16.930      1.638 
  13.294      0.496 
  15.793      1.245 
  16.245      1.391 
  13.215      0.501 
  14.929      0.976 
  12.795      0.382 
  17.754      1.899 
  12.768      0.341 
  10.315      0.113 
  16.773      1.526 
  16.504      1.527 
  13.894      0.790 
  10.686      0.193 
  16.023      1.376 
  14.945      1.011 
  17.706      1.836 
  14.757      0.973 
  15.854      1.336 
  13.324      0.559 
  11.877      0.197 
  14.925      1.088 
  12.434      0.329 
  11.329      0.179 
  13.454      0.597 
  12.071      0.287 
  10.390      0.239 
  12.182      0.281 
  15.618      1.306 
  17.733      1.970 
  15.574      1.312 
  11.176      0.214 
  14.836      0.996 
  16.991      1.650 
  16.464      1.386 
  14.167      0.893 
  17.534      1.889 
  17.831      1.963 
  17.538      1.874 
  14.611      0.925 
  14.921      0.991 
  13.377      0.542 
  17.796      2.098 
  13.896      0.733 
  15.180      1.055 
  13.076      0.456 
  15.389      1.129 
  15.932      1.362 
  14.586      0.923 
  11.279      0.180 
  15.476      1.221 
  15.337      1.185 
  16.631      1.530 
  13.158      0.454 
  17.609      2.056 
  16.140      1.225 
  17.937      2.011 
  13.259      0.483 
  16.468      1.481 
  15.273      1.090 
  13.490      0.579 
  16.877      1.509 
  15.562      1.255 
  17.759      1.910 
  17.889      2.037 
  15.189      1.164 
  13.391      0.585 
  17.511      1.928 
   9.959      0.089 
  16.907      1.572 
  15.311      1.183 
  17.113      1.736 
  14.005      0.798 
  14.507      0.903 
  16.166      1.376 
  17.723      2.044 
  17.072      1.652 
  16.445      1.516 
  14.544      0.976 
  13.557      0.663 
  15.629      1.253 
  15.462      1.272 
  13.166      0.552 
  13.127      0.532 
  14.811      1.068 
  14.578      0.879 
  17.676      1.961 
  14.763      0.998 
  13.839      0.764 
  14.618      0.915 
  14.692      0.964 
  12.271      0.316 
  14.020      0.800 
  13.245      0.541 
  15.910      1.323 
  10.654      0.162 
  10.606      0.154 
  13.861      0.766 
  15.640      1.200 
  12.875      0.402 
  14.818      1.010 
  15.136      1.062 
  12.198      0.295 
   9.316      0.084 
  13.403      0.578 
  10.735      0.160 
   8.978      0.089 
  13.833      0.767 
  12.116      0.275 
  13.258      0.483 
  16.360      1.517 
  16.741      1.555 
  13.618      0.640 
  14.267      0.848 
  15.048      1.123 
  16.414      1.095 
  10.640      0.181 
  14.284      0.862 
  11.233      0.261 
  10.594      0.154 
  12.328      0.332 
   9.089      0.067 
  14.882      1.095 
  13.654      0.662 
  14.809      1.035 
  13.989      0.788 
   9.228      0.125 
  12.032      0.233 
   9.540      0.124 
  14.832      1.002 
  13.589      0.618 
  11.532      0.254 
  14.054      0.814 
  14.854      0.952 
  11.924      0.246 
  14.954      1.116 
  14.378      0.909 
  10.188      0.179 
   9.712      0.083 
  14.896      1.000 
  15.231      1.047 
  17.099      1.781 
  12.356      0.351 
  11.478      0.191 
  14.954      1.067 
  14.835      1.012 
  13.990      0.792 
  14.124      0.821 
  17.355      1.825 
  12.592      0.334 
  17.087      1.790 
  13.668      0.654 
  16.149      1.413 
  14.526      0.903 
  14.264      0.862 
  14.077      0.808 
   8.907      0.056 
  17.537      1.770 
  13.102      0.437 
  16.060      1.254 
  16.378      1.439 
  13.981      0.807 
  16.298      1.448 
  14.347      0.862 
  14.436      0.902 
  17.497      1.550 
  11.712      0.234 
  16.451      1.493 
  12.444      0.279 
  16.796      1.611 
  13.867      0.736 
  12.666      0.354 
  12.269      0.268 
  11.824      0.237 
  13.639      0.646 
  12.384      0.303 
  14.972      1.015 
  17.895      2.068 
  14.823      0.977 
  17.138      1.612 
  14.056      0.814 
  14.607      0.923 
  14.748      0.986 
  15.656      1.253 
  10.770      0.235 
  17.075      1.684 
  14.104      0.831 
  17.350      1.804 
  13.276      0.544 
  16.063      1.156 
  14.601      0.925 
  15.353      1.214 
  15.817      1.329 
   9.864      0.137 
  16.239      1.440 
  14.156      0.858 
  17.555      1.838 
  17.177      1.709 
  15.366      1.059 
  15.133      1.039 
  16.433      1.461 
  13.774      0.674 
  17.567      1.912 
  14.829      1.032 
  16.340      1.461 
  17.103      1.672 
  17.577      2.063 
