       J        J-K 
  11.914      0.299 
  10.323      0.078 
  10.193      0.052 
  13.757      0.701 
   9.967      0.020 
  14.613      0.955 
  11.094      0.219 
   9.227      0.007 
  15.390      0.949 
  13.960      0.734 
  15.302      0.926 
   9.808      0.035 
  13.541      0.670 
  12.474      0.471 
   8.794      0.008 
  14.719      0.908 
  14.695      0.864 
  11.557      0.302 
  14.364      0.900 
  14.014      0.811 
  10.961      0.221 
  13.747      0.729 
  14.525      0.932 
  10.938      0.187 
  15.166      0.977 
  10.301      0.078 
   9.208      0.016 
  10.413      0.069 
  10.826      0.181 
  14.179      0.878 
  13.786      0.740 
   8.546     -0.045 
  10.694      0.122 
  12.169      0.350 
  12.652      0.498 
  11.733      0.328 
  13.043      0.603 
  13.090      0.513 
  13.340      0.658 
  14.255      0.873 
  12.034      0.371 
  14.327      0.838 
  14.693      0.892 
  13.645      0.699 
  13.670      0.745 
  13.417      0.699 
  13.908      0.797 
  14.237      0.901 
  12.264      0.321 
  13.611      0.714 
  14.277      0.857 
  12.627      0.432 
  11.322      0.264 
  10.393      0.090 
  13.434      0.685 
  11.186      0.238 
  14.621      0.926 
  14.219      0.869 
  14.311      0.901 
  14.697      0.932 
  12.701      0.485 
  15.057      0.949 
  13.637      0.673 
  14.213      0.863 
  11.872      0.315 
  14.333      0.860 
  11.374      0.288 
  10.738      0.063 
  10.741      0.144 
  14.630      0.988 
  13.402      0.694 
  12.788      0.485 
  15.189      0.824 
  13.000      0.559 
  11.811      0.311 
  14.550      0.925 
  12.477      0.380 
  13.801      0.693 
  13.763      0.756 
  14.543      0.839 
  13.191      0.625 
  13.879      0.798 
  10.955      0.201 
  13.057      0.523 
  13.749      0.729 
  13.903      0.712 
  13.662      0.710 
  15.174      0.932 
  12.090      0.348 
