       J        J-K 
  13.760      0.694 
  11.100      0.183 
  15.055      0.914 
  11.661      0.282 
  13.327      0.566 
  14.697      0.834 
  15.282      0.876 
  12.855      0.473 
  14.637      0.887 
  13.463      0.695 
  14.403      0.917 
  14.680      0.893 
  12.317      0.354 
  13.292      0.594 
  15.509      0.815 
  14.504      0.874 
  15.195      0.939 
  11.056      0.225 
  13.418      0.687 
  14.905      0.882 
  14.275      0.870 
  13.589      0.687 
  13.283      0.668 
  11.039      0.188 
  12.550      0.465 
  11.640      0.327 
  12.378      0.377 
  12.531      0.444 
   9.162      0.046 
  11.944      0.314 
   8.944     -0.074 
  11.019      0.250 
  11.162      0.265 
  14.097      0.744 
  11.604      0.336 
  13.557      0.680 
  14.523      0.906 
  12.358      0.405 
  11.695      0.318 
  14.510      0.955 
  15.056      0.896 
  15.161      0.983 
  13.354      0.648 
  13.333      0.639 
  13.425      0.598 
  14.169      0.847 
  10.633      0.196 
  15.127      0.993 
  13.837      0.757 
  12.582      0.437 
  14.093      0.839 
  12.936      0.472 
  12.608      0.399 
  11.650      0.334 
  12.239      0.365 
  14.168      0.781 
  10.268      0.084 
  14.422      0.892 
  13.368      0.623 
  13.226      0.608 
  14.075      0.834 
  12.458      0.478 
  14.094      0.857 
  11.507      0.296 
  12.938      0.537 
  14.208      0.834 
  13.226      0.550 
  10.606      0.166 
  12.749      0.413 
  12.460      0.365 
  10.424      0.098 
  12.481      0.437 
  11.820      0.356 
  13.712      0.747 
  15.098      0.920 
  12.993      0.531 
  10.957      0.206 
  14.345      0.921 
  14.972      0.854 
  14.937      0.850 
  13.036      0.508 
  13.912      0.768 
  14.912      0.883 
  13.353      0.675 
  14.478      0.850 
  14.432      0.906 
  15.186      0.831 
  14.308      0.904 
  14.477      0.814 
  14.399      0.850 
  14.278      0.872 
  13.772      0.703 
  15.020      0.825 
  14.179      0.831 
  13.500      0.680 
  14.494      0.840 
  11.165      0.229 
  13.746      0.725 
  11.495      0.256 
  13.859      0.767 
  11.866      0.322 
  13.821      0.756 
  11.168      0.236 
  13.073      0.588 
  13.335      0.640 
  15.216      1.009 
  14.370      0.932 
  13.664      0.717 
  10.424      0.087 
  14.439      0.850 
  14.169      0.772 
  14.617      0.803 
  11.446      0.256 
  13.162      0.580 
  11.564      0.280 
  10.353      0.022 
  14.264      0.907 
  10.612      0.172 
  13.107      0.555 
  14.590      0.931 
  12.825      0.520 
  13.821      0.748 
  12.775      0.546 
  12.476      0.401 
  14.641      0.875 
  13.557      0.684 
  14.200      0.847 
  14.845      0.937 
  15.253      0.874 
  13.786      0.770 
  14.672      0.892 
  12.539      0.425 
  14.003      0.818 
  11.355      0.266 
  12.670      0.441 
  14.532      0.895 
  13.334      0.595 
  15.223      0.888 
  13.251      0.540 
  11.039      0.258 
  11.147      0.234 
  13.866      0.727 
  12.423      0.429 
  12.936      0.528 
  12.858      0.463 
  10.437      0.077 
  15.292      0.863 
  13.390      0.681 
  15.075      0.917 
  10.848      0.211 
   9.516      0.020 
  14.822      0.908 
  13.472      0.610 
  15.161      0.876 
  14.967      0.898 
  14.539      0.896 
  13.254      0.549 
  12.700      0.532 
  14.217      0.874 
  12.708      0.456 
  13.625      0.656 
  12.342      0.405 
   8.943     -0.013 
  13.747      0.755 
  15.292      0.934 
  10.567      0.109 
  13.830      0.775 
  14.239      0.890 
   9.711      0.017 
  10.788      0.177 
  14.940      0.832 
  12.637      0.446 
  12.089      0.369 
  13.174      0.555 
  13.798      0.774 
  13.117      0.529 
  13.194      0.559 
  12.588      0.412 
  13.670      0.744 
  13.759      0.678 
  12.059      0.396 
  14.403      0.832 
  14.351      0.838 
  12.988      0.523 
  13.485      0.667 
  13.372      0.610 
  14.745      0.888 
  13.627      0.728 
  10.366      0.115 
  14.851      0.862 
  13.360      0.606 
  15.005      0.810 
  14.251      0.834 
  12.748      0.471 
  14.577      0.904 
  13.017      0.554 
  13.182      0.614 
  15.110      0.957 
  12.520      0.486 
  12.520      0.486 
  13.340      0.580 
  14.213      0.820 
  12.600      0.472 
  13.123      0.542 
  10.595      0.165 
   8.300     -0.050 
  14.060      0.801 
  11.231      0.245 
  13.487      0.620 
  14.280      0.858 
  12.551      0.422 
  14.205      0.869 
  14.855      0.825 
   9.842      0.033 
  14.959      1.005 
   9.091     -0.041 
  11.193      0.232 
  12.782      0.441 
  12.271      0.364 
  12.702      0.475 
  14.614      0.828 
  13.242      0.633 
  14.023      0.752 
  14.044      0.801 
  14.254      0.869 
  14.701      0.951 
  13.232      0.606 
  14.616      0.944 
  11.217      0.219 
  11.946      0.354 
  13.082      0.543 
  12.986      0.500 
  13.875      0.776 
  14.839      0.919 
  11.436      0.264 
  11.803      0.315 
  12.456      0.424 
  11.658      0.339 
  14.740      1.006 
  14.092      0.814 
  14.550      0.858 
  13.535      0.668 
  14.694      0.835 
  11.596      0.331 
  13.600      0.703 
  13.804      0.734 
  13.179      0.600 
  15.076      0.890 
  14.919      0.854 
  14.079      0.829 
  10.656      0.176 
  13.785      0.735 
  13.068      0.583 
  13.061      0.579 
  13.267      0.625 
  15.325      0.962 
  15.016      0.894 
  13.075      0.530 
  11.000      0.187 
  14.480      0.932 
  14.850      0.834 
  14.106      0.832 
  13.422      0.624 
  10.961      0.239 
  14.455      0.888 
  11.971      0.342 
  14.866      0.959 
  13.617      0.683 
  13.939      0.742 
  14.539      0.963 
  14.581      0.809 
  12.554      0.493 
  15.050      0.892 
  13.209      0.585 
  14.107      0.808 
  14.210      0.785 
  11.563      0.339 
  12.128      0.371 
  11.814      0.348 
  12.546      0.425 
  13.729      0.638 
  13.675      0.771 
  10.621      0.127 
  11.893      0.327 
  14.573      0.874 
  12.882      0.488 
  14.411      0.843 
  10.422      0.113 
  14.617      0.895 
  11.587      0.279 
  13.949      0.787 
   9.445     -0.017 
  10.199      0.093 
  13.006      0.602 
  10.260      0.066 
  14.748      0.985 
  14.483      0.876 
  13.979      0.830 
  14.879      0.947 
  14.834      0.886 
  14.466      0.887 
  13.508      0.688 
  13.887      0.774 
  14.037      0.831 
  14.986      0.994 
  11.376      0.269 
   8.238     -0.028 
  12.934      0.516 
  12.966      0.538 
  15.083      0.825 
  11.451      0.248 
  13.255      0.616 
  14.302      0.888 
  13.592      0.700 
  10.495      0.085 
  12.890      0.496 
  12.545      0.432 
  14.005      0.763 
  13.181      0.542 
  13.926      0.726 
  12.415      0.387 
  13.424      0.639 
  13.000      0.579 
  15.220      0.879 
  13.343      0.674 
  13.188      0.598 
  11.948      0.336 
  11.882      0.357 
  13.768      0.760 
  10.201      0.073 
  13.929      0.780 
  13.575      0.654 
  14.006      0.790 
  10.931      0.186 
  10.058      0.028 
  12.631      0.405 
  13.202      0.564 
  13.329      0.589 
  13.110      0.615 
  11.695      0.352 
  13.615      0.758 
  11.677      0.322 
  10.054      0.040 
  14.078      0.753 
  12.156      0.347 
   8.971     -0.051 
  10.786      0.167 
  12.978      0.517 
  13.626      0.721 
  14.953      0.954 
  11.713      0.323 
  13.224      0.658 
  14.227      0.872 
  13.538      0.725 
  10.064      0.018 
  11.870      0.346 
  14.607      0.910 
  12.367      0.423 
  12.604      0.465 
  10.073      0.048 
