       J        J-K 
  13.713      0.380 
  14.117      0.369 
  14.780      0.520 
  14.909      0.596 
  15.759      0.675 
  15.063      0.606 
  15.231      0.506 
  14.865      0.573 
  10.385      0.711 
  15.221      0.702 
  15.805      0.622 
  13.971      0.360 
  13.966      0.390 
  15.922      0.586 
  14.281      0.530 
  14.722      0.539 
  15.877      0.697 
  15.951      0.541 
  14.582      0.371 
  14.570      0.485 
  15.385      0.620 
  13.446      0.576 
  14.735      0.679 
  15.593      0.473 
  14.850      0.460 
  14.617      0.442 
  15.162      0.387 
  15.977      0.513 
  13.544      0.449 
  15.914      0.602 
  14.875      0.386 
  14.607      0.420 
  15.335      0.410 
  13.970      0.295 
  14.401      0.525 
  15.621      0.793 
  15.175      0.603 
  14.224      0.299 
  14.693      0.359 
  14.000      0.392 
  15.750      0.555 
  14.974      0.489 
  13.811      0.443 
  14.500      0.364 
  15.733      0.509 
  13.975      0.366 
  15.817      0.763 
  14.419      0.480 
  14.128      0.448 
  16.428      0.767 
  16.115      0.702 
  15.488      0.762 
  15.049      0.529 
  14.195      0.428 
  15.008      0.477 
  16.175      0.628 
  14.793      0.398 
  14.524      0.539 
  13.605      0.434 
  14.031      0.400 
  13.694      0.416 
  13.542      0.388 
  15.287      0.414 
  15.532      0.487 
  16.017      0.723 
  15.225      0.602 
  13.200      0.456 
  13.555      0.494 
  14.382      0.369 
  12.072      0.576 
  15.393      0.940 
  14.628      0.404 
  15.884      0.611 
  14.516      0.383 
  13.515      0.388 
  13.197      0.522 
  15.437      0.568 
  14.707      0.482 
  14.269      0.430 
  15.190      0.524 
  14.783      0.362 
  15.733      0.569 
  15.579      0.596 
  14.347      0.447 
  15.068      0.496 
  16.305      0.584 
  15.242      0.719 
  14.575      0.539 
  13.644      0.444 
  15.147      0.524 
  15.125      0.605 
  15.872      0.659 
  14.915      0.342 
  15.897      0.628 
  15.480      0.793 
  14.293      0.466 
  14.640      0.409 
  14.447      0.364 
  15.018      0.524 
  14.571      0.322 
  14.273      0.350 
  15.579      0.598 
  13.440      0.391 
  15.239      0.507 
  14.779      0.404 
  14.537      0.512 
  14.195      0.318 
  14.704      0.370 
  14.965      0.445 
  10.252      0.632 
  16.042      0.867 
  13.684      0.470 
  14.442      0.608 
  13.859      0.316 
  10.823      0.716 
  15.050      0.350 
  15.474      0.473 
  14.954      0.657 
  12.167      0.616 
  13.430      0.521 
  14.465      0.491 
  14.447      0.366 
  12.748      0.352 
  12.510      0.778 
  15.693      0.551 
  14.180      0.331 
  15.970      0.653 
  14.521      0.286 
  13.461      0.532 
  10.098      0.794 
  15.865      0.649 
  12.100      0.684 
  13.913      0.468 
  14.944      0.535 
  15.434      0.426 
  13.570      0.406 
  15.353      0.798 
   9.891      0.791 
  13.280      0.289 
  15.894      0.738 
  15.218      0.406 
  14.549      0.454 
  15.403      0.695 
  15.579      0.463 
  13.535      0.598 
  13.277      0.644 
  10.451      0.752 
  14.103      0.303 
  14.151      0.303 
  14.891      0.376 
   9.966      0.706 
  15.462      0.479 
  16.094      0.534 
  13.722      0.343 
  14.292      0.416 
  16.022      0.610 
  14.602      0.377 
  15.399      0.450 
  13.890      0.373 
  14.177      0.399 
  14.551      0.486 
  15.708      0.661 
  16.055      0.650 
  13.668      0.405 
  14.384      0.474 
  13.566      0.450 
  14.302      0.371 
  14.172      0.350 
  16.219      0.776 
  15.114      0.385 
  13.951      0.525 
  15.756      0.643 
  14.499      0.331 
  12.733      0.652 
  14.194      0.355 
