       J        J-K 
  10.535      0.572 
  12.475      0.918 
  13.289      0.931 
  13.605      0.922 
  11.073      0.679 
  14.334      0.870 
  13.039      0.871 
  13.245      0.879 
  13.410      0.960 
  14.155      0.915 
  12.028      0.885 
  12.806      0.881 
  13.006      0.870 
   7.182     -0.026 
  13.689      0.947 
  12.205      0.964 
  14.571      0.913 
  13.382      0.909 
  13.678      0.896 
  12.834      0.878 
  13.367      0.886 
  11.194      0.699 
   7.675      0.011 
   7.010     -0.035 
  10.452      0.490 
  11.046      0.683 
  10.799      0.545 
  13.520      0.934 
   8.937      0.248 
   9.867      0.379 
  12.994      0.923 
  13.670      0.891 
  10.888      0.679 
  11.994      0.901 
  12.127      0.900 
   9.035      0.251 
   8.841      0.237 
  12.564      0.869 
  13.308      0.915 
  12.649      0.922 
  12.343      0.890 
  13.844      0.836 
   8.829      0.225 
  14.125      0.961 
  12.776      0.905 
  13.782      0.898 
  11.486      0.858 
   8.377      0.082 
  12.897      0.890 
  10.281      0.517 
  12.858      0.905 
  13.264      0.893 
  11.194      0.751 
  13.211      0.937 
  14.227      0.945 
  14.158      0.945 
   7.797      0.071 
   9.111      0.265 
  13.261      0.913 
  13.412      0.927 
  13.877      0.888 
   9.281      0.287 
  14.506      0.921 
  11.232      0.704 
  14.131      0.927 
  13.368      0.925 
  14.415      0.917 
  13.536      0.907 
  11.646      0.847 
  14.312      0.907 
   8.369      0.175 
  12.353      0.930 
  13.748      0.889 
   7.320      0.008 
  14.282      0.989 
  12.142      0.902 
  14.183      0.905 
  13.437      0.944 
  11.680      0.778 
  14.079      0.923 
  11.713      0.894 
  10.830      0.580 
  13.287      0.883 
  13.865      0.871 
   9.707      0.427 
  13.428      0.909 
  14.552      0.925 
  13.553      0.868 
  13.321      0.943 
  12.903      0.934 
  13.319      0.922 
   8.790      0.254 
  14.405      0.882 
  13.686      0.866 
  13.317      0.952 
  12.523      0.923 
  14.102      0.913 
   8.454      0.089 
  12.379      0.891 
  13.881      0.877 
  12.312      0.894 
  11.215      0.741 
  12.462      0.915 
  13.794      0.893 
  13.370      0.973 
  14.051      0.966 
  12.539      0.845 
  13.963      0.845 
  12.032      0.875 
  11.802      0.868 
  13.036      0.877 
  12.915      0.829 
  13.926      0.893 
  12.915      0.829 
  13.802      0.931 
  10.975      0.640 
  11.300      0.722 
  13.497      0.862 
  11.851      0.895 
  13.257      0.939 
   8.325      0.174 
  13.120      0.851 
  12.880      0.888 
  12.698      0.964 
  12.204      0.938 
  12.312      0.916 
  12.929      0.878 
  13.293      0.929 
  12.848      0.976 
  12.454      0.959 
  14.164      0.909 
  14.492      0.913 
  11.037      0.615 
  13.072      0.932 
  12.377      0.908 
  12.425      0.866 
  13.535      0.913 
  14.062      0.872 
   8.966      0.284 
  10.374      0.499 
  11.079      0.684 
   5.117     -0.100 
   9.200      0.306 
  13.672      0.902 
   7.358     -0.057 
  13.224      0.845 
  13.910      0.872 
  13.205      0.862 
   8.881      0.218 
  10.810      0.596 
  13.049      0.836 
  14.276      0.918 
  13.179      0.879 
  14.065      0.844 
  10.463      0.500 
  11.383      0.782 
   9.433      0.296 
  10.538      0.528 
  13.345      0.917 
  13.968      0.906 
  12.479      0.924 
   8.838      0.196 
  11.087      0.654 
   8.764      0.197 
  11.822      0.878 
  13.369      0.918 
  13.698      0.925 
  14.464      0.927 
   8.365      0.179 
  10.957      0.630 
  13.562      0.973 
  12.898      0.908 
  13.141      0.894 
  10.411      0.527 
  13.622      0.886 
  13.929      0.936 
  14.249      0.913 
  11.714      0.901 
  12.635      0.938 
  13.091      0.886 
  12.951      0.924 
  12.276      0.915 
  13.882      0.844 
  13.738      0.901 
  14.320      0.991 
  13.243      0.883 
  12.010      0.867 
  10.824      0.627 
  10.900      0.591 
  10.775      0.665 
   7.705      0.012 
  13.051      0.875 
  13.969      0.993 
   8.735      0.233 
  10.999      0.689 
  13.882      0.891 
  11.551      0.793 
  14.548      0.833 
  12.579      0.897 
  13.522      0.950 
  12.933      0.899 
  13.071      0.898 
  12.813      0.876 
  13.639      0.857 
  11.964      0.877 
  11.124      0.674 
  14.304      0.944 
  12.855      0.894 
  13.023      0.900 
  13.240      0.867 
   7.887      0.014 
  14.016      0.886 
  13.400      0.925 
  12.769      0.887 
  13.677      0.887 
  13.227      0.932 
  10.183      0.486 
   9.199      0.275 
  14.202      0.884 
  13.351      0.872 
   6.198     -0.111 
  14.071      0.884 
  11.038      0.702 
  14.489      0.863 
   8.037      0.039 
  10.942      0.559 
   8.070      0.023 
  13.792      0.898 
  14.653      0.849 
  13.141      0.893 
  13.559      0.959 
   8.483      0.127 
  12.319      0.904 
  13.141      0.893 
  13.602      0.912 
  14.609      0.822 
  14.261      0.960 
  11.657      0.858 
   9.482      0.326 
  13.551      0.870 
  14.155      0.905 
  14.558      0.898 
   8.223      0.049 
   8.185      0.096 
  13.206      0.891 
   5.403     -0.134 
  12.883      0.885 
  12.580      0.937 
  13.132      0.915 
   6.892     -0.067 
  13.621      0.860 
  12.203      0.937 
  12.607      0.922 
  12.362      0.929 
  11.177      0.737 
  13.738      0.875 
  13.553      0.885 
  13.257      0.902 
  13.373      0.935 
  11.790      0.897 
  10.743      0.570 
  10.102      0.480 
  14.289      0.914 
  12.535      0.889 
  13.520      0.942 
  13.972      0.885 
  13.135      0.889 
  12.590      0.896 
  10.434      0.453 
  13.694      0.892 
   8.337      0.162 
  11.430      0.782 
  14.058      0.886 
  13.776      0.888 
  11.072      0.653 
  12.338      0.904 
  13.736      0.917 
  12.613      0.908 
  11.794      0.910 
  12.866      0.921 
  12.565      0.873 
  13.857      0.880 
  13.838      0.929 
  14.020      0.939 
  10.564      0.530 
  14.326      0.939 
  13.301      0.914 
  12.946      0.880 
  10.313      0.478 
  13.565      0.847 
  14.035      0.862 
  12.284      0.908 
   7.459      0.002 
  14.086      0.889 
  10.745      0.591 
  14.229      0.956 
  14.668      0.957 
  13.871      0.909 
  10.340      0.453 
  14.046      0.896 
   8.663      0.206 
   9.678      0.417 
  12.736      0.946 
  14.324      0.871 
  10.911      0.623 
   9.632      0.416 
  12.900      0.868 
  10.403      0.558 
   8.900      0.286 
  13.035      0.954 
  14.350      0.953 
  13.810      0.903 
  13.052      0.869 
  14.120      0.969 
  13.228      0.926 
  13.770      0.971 
  10.538      0.523 
  12.412      0.924 
