       V        B-V 
  11.650      0.775 
   8.250      0.231 
  12.330      0.913 
   6.750      0.190 
  12.280      0.903 
  11.260      0.671 
  11.810      0.801 
  10.550      0.583 
   8.140      0.209 
   9.000      0.321 
  10.800      0.596 
   8.310      0.228 
   9.390      0.404 
   7.450      0.255 
   8.500      0.251 
   9.420      0.412 
  10.580      0.573 
  11.310      0.704 
  12.530      0.943 
  10.470      0.588 
  12.640      1.001 
  12.630      0.975 
   7.730      0.219 
   6.670      0.249 
   7.670      0.197 
  10.660      0.583 
  12.740      0.975 
   6.590      0.959 
  10.230      0.513 
  10.110      0.489 
   7.320      0.193 
   8.890      0.321 
   9.490      0.414 
   7.540      0.250 
   9.780      0.384 
   9.230      0.389 
  10.300      0.506 
   9.670      0.443 
  12.060      0.836 
   9.790      0.466 
   6.390      0.983 
  12.640      1.016 
  11.980      0.814 
   6.610      0.006 
   9.890      0.477 
   8.810      0.322 
   7.540      0.160 
   7.700      0.201 
  10.080      0.507 
   6.440      1.021 
   6.780      0.261 
   8.020      0.190 
  10.690      0.593 
   9.370      0.416 
   6.300      0.172 
  11.170      0.655 
  11.520      0.741 
  11.630      0.765 
  12.200      0.884 
   8.650      0.291 
   7.800      0.224 
  10.610      0.608 
  11.340      0.716 
   6.850      0.203 
   9.550      0.434 
  11.030      0.651 
   8.480      0.259 
  10.300      0.520 
  12.090      0.861 
   6.780      0.168 
   8.710      0.323 
  12.430      0.932 
   9.040      0.360 
  10.110      0.505 
   8.330      0.203 
   6.730      0.104 
   7.920      0.241 
  10.720      0.595 
  10.930      0.624 
  11.710      0.780 
   9.320      0.389 
   9.590      0.412 
  10.470      0.565 
  10.170      0.516 
   6.900      0.963 
   8.530      0.297 
  12.040      0.846 
  11.050      0.646 
  11.410      0.726 
   7.960      0.208 
  13.220      1.119 
  12.150      0.877 
   9.880      0.463 
   9.230      0.387 
  12.100      0.896 
  10.990      0.649 
  12.150      0.853 
   9.770      0.447 
  11.620      0.760 
  11.440      0.733 
  12.130      0.859 
  11.780      0.768 
  10.770      0.594 
  12.330      0.921 
  11.650      0.762 
  11.720      0.782 
  10.150      0.447 
  14.010      1.272 
  13.970      1.289 
  14.410      1.376 
  14.940      1.484 
  13.630      1.201 
  14.290      1.353 
  14.680      1.470 
   6.580      0.674 
  13.780      1.221 
  13.920      1.265 
  13.550      1.167 
  13.570      1.181 
