       V        B-V 
   8.960      0.095 
   8.724      0.072 
   9.419      0.060 
  10.810      0.343 
   8.428      0.073 
   9.957      0.129 
   9.650      0.139 
   9.242      0.091 
   9.127      0.099 
   9.395      0.031 
   9.665      0.090 
   9.607      0.073 
  10.877      0.266 
   9.854      0.045 
   9.177      0.004 
   9.936      0.123 
  10.832      0.265 
  10.348      0.180 
  10.471      0.225 
   9.394      0.076 
   8.712      0.079 
   9.891      0.179 
   9.195      0.051 
  10.604      0.241 
   9.375      0.060 
  10.870      0.318 
  10.098      0.120 
  10.838      0.277 
  10.580      0.127 
  10.552      0.282 
  10.969      0.335 
  11.342      0.403 
  10.148      0.157 
   9.632      0.071 
  10.429      0.272 
  10.573      0.322 
  11.087      0.337 
   9.239      0.086 
   9.888      0.106 
  10.259      0.135 
  10.804      0.318 
  11.503      0.446 
  11.199      0.413 
  11.928      0.526 
  12.383      0.613 
  12.677      0.572 
  12.199      0.617 
  12.278      0.571 
   9.738      0.098 
  12.841      0.682 
  11.692      0.482 
  12.026      0.554 
  11.940      0.536 
  10.694      0.345 
  12.279      0.536 
  12.688      0.634 
  11.953      0.538 
  12.702      0.649 
  11.369      0.400 
  11.094      0.394 
   9.552      0.092 
  11.706      0.507 
  11.195      0.383 
  10.836      0.316 
  10.238      0.181 
  10.874      0.311 
  12.040      0.533 
  10.167      0.183 
  11.628      0.448 
  10.879      0.262 
  11.210      0.402 
   8.855      0.079 
   8.529      0.009 
   9.528      0.079 
  12.897      0.633 
  14.658      0.900 
  14.390      0.908 
  13.710      0.834 
  14.792      0.987 
  14.239      0.953 
  14.036      0.854 
  14.456      0.948 
  14.369      0.909 
  13.423      0.760 
  14.701      0.986 
  13.789      0.791 
  15.051      1.033 
  14.660      0.950 
  12.326      0.581 
  12.924      0.658 
  13.976      0.872 
  13.334      0.723 
  14.338      0.904 
  13.298      0.813 
  12.817      0.702 
  14.060      0.831 
  13.760      0.814 
  13.074      0.688 
  13.790      0.727 
  12.152      0.425 
   9.559      0.096 
   8.281      0.013 
   8.740      0.083 
  13.104      0.741 
  11.962      0.524 
  13.945      0.835 
  14.647      1.036 
  14.285      0.927 
  16.281      1.297 
  16.497      1.328 
  14.792      0.954 
  15.069      1.061 
  15.035      1.057 
  16.332      1.373 
  16.103      1.332 
  15.632      1.202 
  14.640      0.949 
  16.215      1.410 
  14.586      0.949 
  14.816      0.950 
  16.899      1.492 
  14.975      1.026 
  14.894      0.992 
  14.627      0.994 
  14.858      1.017 
  14.508      0.956 
  16.685      1.435 
  14.369      0.970 
  16.269      1.324 
  15.124      1.132 
  15.625      1.196 
  16.744      1.397 
  16.542      1.477 
  14.954      1.025 
  15.319      1.182 
  16.331      1.371 
  15.503      1.208 
  14.913      1.045 
  15.134      1.146 
  15.159      1.008 
  14.880      0.968 
  15.685      1.113 
  15.306      1.043 
  13.787      0.819 
  12.648      0.636 
  12.622      0.604 
  13.077      0.680 
  11.168      0.349 
  12.795      0.597 
  13.767      0.859 
  11.062      0.362 
  12.027      0.550 
  13.011      0.650 
  13.571      0.777 
  13.026      0.627 
  12.694      0.638 
  10.882      0.334 
  10.655      0.263 
  12.271      0.563 
  10.104      0.177 
  12.443      0.601 
  13.320      0.735 
  12.873      0.681 
  10.591      0.261 
  11.978      0.538 
  12.492      0.600 
  11.980      0.529 
  13.047      0.679 
  10.110      0.173 
  11.278      0.412 
  12.869      0.709 
  12.953      0.683 
  12.029      0.520 
  12.674      0.665 
  13.821      0.828 
  11.346      0.460 
  11.107      0.374 
  11.551      0.464 
  12.745      0.666 
  13.030      0.691 
  13.130      0.715 
  11.918      0.527 
  12.235      0.564 
  12.410      0.605 
  14.386      0.878 
  13.951      0.846 
  13.016      0.715 
  13.291      0.695 
  13.160      0.702 
  13.401      0.733 
  13.108      0.699 
  13.481      0.731 
  13.821      0.771 
  14.184      0.969 
  14.005      0.800 
  13.820      0.802 
  13.661      0.857 
  13.220      0.689 
  12.613      0.610 
  14.356      0.924 
  11.765      0.484 
  13.619      0.701 
  12.923      0.686 
  10.752      0.272 
  13.353      0.710 
  13.851      0.812 
  11.380      0.356 
  13.328      0.711 
  12.869      0.660 
  12.421      0.590 
  12.050      0.528 
  13.753      0.732 
  14.818      1.013 
  13.676      0.790 
  13.722      0.788 
  14.289      0.914 
  11.956      0.500 
  12.347      0.567 
  11.810      0.489 
  13.493      0.741 
  13.487      0.746 
  15.597      1.113 
  14.586      0.988 
  14.910      1.038 
  13.603      0.815 
  15.165      1.106 
  16.307      1.372 
  11.681      0.512 
  15.907      1.227 
  14.823      1.064 
  15.569      1.137 
  15.470      1.082 
  10.545      0.273 
  15.633      1.147 
  14.443      0.971 
  15.325      1.134 
  14.311      0.924 
  15.023      1.032 
  15.193      1.107 
  16.406      1.283 
  14.361      0.948 
  15.684      1.205 
  14.011      0.866 
  15.224      1.118 
  16.959      1.480 
  16.497      1.397 
  15.001      1.061 
  14.630      1.027 
  16.726      1.530 
  15.457      1.137 
  15.068      1.069 
  14.641      1.005 
  15.795      1.314 
  14.722      1.008 
  16.700      1.424 
  14.926      1.081 
  14.196      0.912 
  13.477      0.781 
  16.057      1.281 
  13.667      0.811 
  14.253      0.928 
  16.939      1.518 
  16.018      1.282 
  15.314      1.126 
  14.724      1.018 
  14.396      0.929 
  16.462      1.394 
  16.246      1.343 
  16.920      1.447 
  14.353      0.924 
  14.759      1.020 
  15.663      1.159 
  14.856      1.107 
  14.587      0.988 
  15.424      1.161 
  14.111      0.942 
  13.541      0.766 
  16.125      1.304 
  14.988      1.065 
  15.162      1.101 
  14.686      0.977 
  16.533      1.508 
  15.259      1.116 
  15.858      1.257 
  15.286      1.113 
  15.477      1.200 
  15.201      1.023 
  14.835      1.036 
  14.903      1.038 
  15.859      1.246 
  16.786      1.386 
  16.122      1.196 
  12.586      0.567 
  15.188      1.085 
  15.355      1.144 
  15.038      1.067 
  16.884      1.437 
  15.543      1.142 
  16.990      1.482 
  16.539      1.405 
  15.000      1.135 
  15.484      1.162 
  16.605      1.330 
  15.969      1.253 
  13.636      0.784 
  16.894      1.450 
  16.499      1.450 
  15.730      1.201 
  14.311      0.916 
  15.844      1.235 
  14.595      0.943 
  15.162      1.040 
  16.318      1.325 
  15.462      1.082 
  14.652      0.970 
  14.586      0.973 
  13.406      0.743 
  15.388      1.074 
  16.306      1.371 
  15.057      1.065 
  14.561      0.941 
  16.983      1.456 
  16.963      1.482 
  15.548      1.193 
  15.922      1.250 
  16.295      1.285 
  16.277      1.276 
  15.205      1.105 
  14.465      0.999 
  16.839      1.416 
  14.993      1.020 
  16.165      1.348 
  14.974      1.017 
  14.122      0.857 
  14.698      0.909 
