       V        B-V 
  13.971      0.543 
  14.203      0.579 
  10.711      0.117 
  12.824      0.228 
  13.955      0.559 
   9.307      0.054 
   9.074      0.039 
  11.226      0.118 
  12.931      0.251 
  10.679      0.109 
  13.959      0.483 
   8.827      0.034 
  10.773      0.118 
   9.719      0.061 
  12.205      0.182 
   8.908      0.018 
   9.518      0.061 
  12.795      0.201 
  12.059      0.139 
  14.116      0.543 
  11.845      0.144 
   9.881      0.081 
  13.309      0.355 
  12.377      0.191 
  13.543      0.319 
  11.361      0.120 
  13.207      0.376 
   9.524      0.079 
  13.477      0.424 
  11.592      0.146 
  11.717      0.154 
  13.718      0.459 
  13.106      0.301 
  14.220      0.582 
   9.072      0.028 
  11.913      0.168 
  14.155      0.588 
  13.755      0.410 
  12.680      0.213 
  13.486      0.358 
  12.409      0.159 
  12.457      0.196 
  11.888      0.103 
   9.988      0.040 
  14.165      0.553 
  13.393      0.396 
  10.623      0.088 
  10.609      0.100 
  13.134      0.317 
  13.338      0.357 
  10.327      0.083 
  10.907      0.091 
  13.661      0.414 
   9.050      0.106 
  14.005      0.527 
  12.212      0.168 
  10.650      0.096 
  12.332      0.154 
  13.128      0.277 
  14.174      0.543 
  13.481      0.395 
  11.503      0.112 
  13.907      0.537 
  13.687      0.431 
   9.986      0.067 
   8.953      0.051 
  11.220      0.031 
  12.448      0.166 
  14.291      0.587 
  12.957      0.237 
  13.548      0.389 
  14.220      0.563 
  11.817      0.098 
  12.262      0.181 
  13.296      0.354 
  14.226      0.566 
