       J        J-K 
  12.932      0.635 
  13.161      0.689 
  14.331      0.866 
  13.939      0.924 
  14.323      0.906 
  12.121      0.439 
  11.717      0.397 
  10.619      0.252 
  10.224      0.151 
  10.434      0.198 
  14.425      0.914 
  11.045      0.286 
  10.476      0.210 
  13.807      0.779 
  12.594      0.580 
  14.666      0.947 
  10.234      0.144 
   8.523      0.043 
  13.004      0.703 
  14.697      0.921 
  10.413      0.185 
  13.100      0.656 
  13.135      0.711 
  14.219      0.898 
  10.455      0.265 
  14.599      1.010 
  12.995      0.631 
  10.866      0.278 
  13.414      0.752 
  10.468      0.262 
  12.421      0.524 
  14.379      0.904 
  11.693      0.399 
  14.582      0.986 
  11.903      0.431 
  10.577      0.283 
  13.449      0.798 
  13.867      0.914 
  12.474      0.573 
  14.398      0.893 
  14.505      0.979 
  12.781      0.591 
  14.541      0.952 
  11.502      0.404 
  10.153      0.132 
   9.644      0.041 
  14.337      0.954 
  11.351      0.312 
  15.110      1.008 
  10.525      0.236 
  14.374      0.905 
  12.121      0.418 
  12.668      0.664 
  14.361      0.880 
  12.562      0.544 
  14.327      0.937 
  13.785      0.865 
  11.511      0.346 
  14.706      1.008 
  10.601      0.235 
  14.075      0.901 
  14.446      0.996 
   8.288      0.000 
  14.033      0.870 
  13.138      0.700 
  12.977      0.694 
  11.279      0.231 
  14.590      0.976 
  11.926      0.471 
  12.936      0.623 
  11.355      0.367 
  13.005      0.615 
  14.308      0.869 
   9.200      0.068 
  14.105      0.826 
  14.301      0.986 
  12.534      0.523 
  14.945      0.871 
  12.763      0.578 
   8.911      0.071 
  10.243      0.184 
  13.024      0.723 
  14.360      0.878 
  14.035      0.843 
  14.192      0.944 
   8.236      0.006 
  10.569      0.230 
  13.483      0.766 
  13.108      0.730 
  11.636      0.402 
  12.985      0.695 
   8.979      0.048 
  13.217      0.675 
  13.595      0.735 
  13.865      0.916 
  10.031      0.153 
  11.405      0.338 
  12.242      0.488 
  14.265      0.968 
  10.670      0.280 
  13.971      0.892 
  11.920      0.469 
   7.511     -0.033 
  11.682      0.389 
  14.456      0.918 
  14.129      0.882 
  13.148      0.769 
  12.970      0.646 
  15.030      0.908 
  10.871      0.280 
  11.035      0.333 
  13.581      0.695 
  12.684      0.610 
  11.428      0.284 
  13.009      0.645 
  11.451      0.415 
  12.240      0.478 
  12.833      0.606 
  12.089      0.436 
  12.783      0.611 
  14.380      0.826 
  13.591      0.753 
  13.459      0.815 
  13.982      0.922 
  13.610      0.866 
  11.025      0.309 
  13.452      0.799 
  14.098      0.977 
  12.845      0.627 
  12.214      0.490 
  14.135      0.894 
  14.178      0.879 
  13.919      0.869 
  14.226      0.968 
  10.426      0.201 
  14.320      0.836 
  13.353      0.779 
  13.543      0.737 
  10.112      0.105 
  10.234      0.116 
  13.708      0.838 
  10.103      0.134 
  12.654      0.609 
  14.079      0.924 
  11.723      0.397 
  10.982      0.256 
  10.336      0.194 
  12.473      0.524 
  13.034      0.688 
   9.863      0.100 
  12.238      0.485 
  14.471      0.954 
  12.969      0.641 
  10.921      0.297 
  14.475      0.813 
  13.538      0.787 
  14.877      0.955 
  12.498      0.614 
  13.934      0.860 
  11.227      0.282 
  11.701      0.362 
  11.706      0.364 
   9.166      0.078 
  12.090      0.441 
  12.148      0.510 
  12.752      0.544 
  12.932      0.649 
  12.482      0.590 
   9.637      0.075 
  11.683      0.435 
  13.934      0.771 
  14.650      0.999 
  14.845      0.900 
  14.921      0.867 
  11.976      0.429 
  10.493      0.231 
  14.359      0.990 
  14.885      0.926 
  13.538      0.819 
  12.878      0.640 
  12.054      0.473 
  12.086      0.447 
  11.615      0.351 
  13.441      0.769 
  12.863      0.601 
  12.790      0.555 
  13.903      0.930 
  13.691      0.753 
  10.568      0.236 
  13.724      0.802 
   7.673      0.014 
  10.473      0.251 
  14.985      0.925 
  12.206      0.466 
  14.604      0.821 
  14.083      0.910 
  13.423      0.823 
  13.825      0.847 
  11.767      0.371 
  11.458      0.354 
  13.791      0.901 
  11.390      0.381 
  14.274      0.981 
  12.554      0.561 
  11.965      0.446 
  14.640      0.795 
  15.164      0.925 
  13.978      0.691 
  12.577      0.652 
  13.841      0.875 
  10.404      0.176 
  14.017      0.920 
  14.219      0.873 
  13.046      0.612 
  14.192      0.966 
  12.231      0.525 
  11.945      0.429 
  12.844      0.692 
  14.980      0.932 
  10.211      0.201 
  15.020      0.915 
  12.697      0.678 
  14.653      0.960 
  14.798      0.978 
  10.803      0.291 
  15.001      0.932 
  14.556      0.864 
  12.230      0.447 
  12.474      0.538 
  13.258      0.735 
  10.279      0.133 
  12.910      0.695 
   7.641      0.034 
  14.559      0.915 
  11.868      0.440 
  13.863      0.900 
  13.451      0.767 
  11.066      0.285 
  14.938      0.860 
  14.202      0.917 
   9.893      0.050 
   8.363     -0.006 
  12.065      0.456 
  12.991      0.615 
  14.757      0.899 
  12.570      0.654 
   6.334     -0.028 
  12.143      0.399 
  14.962      0.890 
  11.572      0.332 
  13.275      0.712 
  14.259      0.972 
   8.675     -0.041 
  12.251      0.470 
  12.508      0.544 
  15.187      0.955 
   9.731      0.117 
  10.596      0.241 
  14.783      0.972 
  12.878      0.606 
  14.189      0.927 
  14.416      0.837 
  11.262      0.328 
   9.853      0.101 
  12.865      0.674 
  12.865      0.674 
  12.507      0.523 
  13.435      0.656 
  14.726      0.962 
  12.872      0.659 
  12.672      0.503 
  13.087      0.639 
  11.936      0.429 
  10.202      0.130 
  14.795      0.891 
  11.104      0.308 
  13.302      0.687 
  12.610      0.609 
  13.287      0.687 
  15.114      0.971 
  14.121      0.883 
  11.292      0.327 
  12.174      0.491 
  11.254      0.280 
  13.233      0.736 
  14.335      0.881 
  11.500      0.319 
  12.894      0.637 
  12.890      0.650 
  11.468      0.381 
  13.234      0.741 
  10.405      0.198 
  12.319      0.510 
  12.409      0.477 
  14.935      0.929 
  13.179      0.696 
   9.531      0.094 
  12.934      0.634 
  13.337      0.747 
  14.661      0.952 
  13.730      0.879 
  14.405      0.886 
  14.420      0.964 
  14.224      0.920 
  11.173      0.339 
  13.346      0.733 
  14.299      0.976 
  14.706      0.909 
  14.985      0.888 
  13.235      0.704 
  11.716      0.429 
  12.702      0.600 
  12.822      0.636 
  13.565      0.844 
  13.427      0.821 
   9.470      0.095 
  13.148      0.726 
  13.631      0.821 
  13.399      0.742 
  11.613      0.401 
  11.212      0.363 
  14.872      0.868 
  11.775      0.343 
  11.994      0.470 
  11.987      0.446 
  11.707      0.362 
   9.347      0.081 
  14.761      0.897 
  10.044      0.099 
  12.353      0.491 
   9.932      0.075 
  14.671      0.879 
  10.522      0.277 
  13.497      0.746 
  13.924      0.878 
  14.140      0.894 
  13.818      0.881 
  14.122      0.952 
  10.876      0.333 
  11.888      0.478 
  13.554      0.764 
  12.926      0.610 
   8.779     -0.027 
  13.296      0.742 
  12.802      0.600 
  12.224      0.496 
  13.964      0.893 
  13.569      0.779 
  13.696      0.860 
  13.398      0.738 
  13.152      0.726 
   9.703      0.087 
  13.474      0.758 
  11.115      0.270 
  14.006      0.864 
  11.853      0.436 
  13.374      0.803 
  13.649      0.874 
  13.941      0.939 
  14.493      0.959 
  14.019      0.925 
  14.033      0.930 
  12.084      0.432 
  14.667      0.937 
  10.522      0.277 
  11.187      0.357 
   9.572      0.077 
  13.490      0.763 
  12.042      0.406 
  13.276      0.745 
  11.945      0.394 
  10.636      0.266 
  14.607      0.967 
  14.776      0.946 
  10.782      0.273 
  13.245      0.770 
  13.933      0.925 
  12.833      0.633 
  11.703      0.387 
  12.699      0.479 
  12.980      0.687 
   9.922      0.057 
  14.824      0.918 
  12.963      0.648 
  11.331      0.296 
  13.702      0.852 
  13.303      0.719 
  12.682      0.572 
  14.640      0.947 
  12.159      0.431 
  10.582      0.253 
  13.870      0.809 
  13.178      0.664 
  10.802      0.268 
  12.448      0.568 
  14.188      0.826 
  12.982      0.620 
  11.949      0.411 
   9.940      0.081 
