       J        J-K 
  13.839      0.896 
  13.639      0.816 
  12.032      0.497 
  12.607      0.557 
  10.184      0.175 
  13.531      0.789 
  14.325      0.946 
  13.474      0.782 
  11.530      0.386 
  14.158      0.866 
  11.489      0.339 
  11.659      0.417 
  15.001      0.974 
  12.889      0.643 
  14.024      0.861 
  12.029      0.464 
  14.685      0.881 
  11.683      0.401 
   8.314     -0.027 
  14.393      0.878 
  11.877      0.378 
  10.520      0.187 
  14.689      0.861 
  13.478      0.820 
  13.620      0.837 
  14.360      0.876 
  10.756      0.244 
  12.851      0.558 
  12.000      0.435 
  10.208      0.138 
  14.811      0.916 
  13.380      0.762 
  12.501      0.533 
  11.699      0.369 
  14.366      0.871 
  14.284      0.749 
  11.700      0.383 
  12.538      0.556 
   9.808      0.079 
  12.231      0.424 
  14.763      0.806 
  12.618      0.553 
  14.431      0.963 
  14.132      0.858 
  12.295      0.431 
  14.227      0.972 
  10.585      0.233 
  12.265      0.416 
  10.914      0.262 
  10.869      0.257 
  13.234      0.756 
  11.472      0.366 
  12.866      0.603 
  13.577      0.768 
  11.338      0.307 
  13.165      0.672 
  13.312      0.768 
  13.903      0.866 
  14.136      0.899 
  10.406      0.156 
  14.027      0.880 
   7.591     -0.043 
  12.930      0.666 
  13.158      0.715 
  12.624      0.541 
  12.379      0.536 
  12.235      0.467 
  14.229      0.881 
   9.968      0.127 
  14.439      0.963 
  13.065      0.658 
   8.506      0.045 
  13.661      0.836 
  11.730      0.433 
  12.848      0.608 
  14.381      0.959 
  12.571      0.620 
  13.853      0.914 
  12.730      0.598 
  13.546      0.734 
  13.925      0.912 
  14.231      0.956 
  11.968      0.380 
   9.941      0.132 
  13.743      0.864 
  10.801      0.280 
  14.130      0.903 
  12.180      0.543 
  14.955      0.911 
  14.179      0.952 
  14.460      1.008 
  14.258      0.940 
  14.627      0.944 
  13.989      0.907 
  13.912      0.844 
  15.019      0.948 
  13.179      0.743 
  11.575      0.460 
  13.800      0.864 
  10.861      0.330 
  13.841      0.917 
  11.675      0.388 
  13.441      0.810 
  14.815      0.808 
  14.430      0.948 
  14.233      0.834 
  13.947      0.836 
  14.133      0.900 
  10.105      0.210 
  12.939      0.631 
  11.765      0.400 
  10.966      0.316 
  11.811      0.384 
  12.831      0.599 
   8.017      0.055 
  14.935      0.990 
  12.663      0.590 
  13.176      0.700 
  12.381      0.505 
  14.508      0.811 
  12.353      0.453 
  12.384      0.477 
  11.617      0.402 
   9.172      0.034 
  10.328      0.196 
  13.589      0.820 
  14.687      0.975 
  14.429      0.950 
  14.622      1.003 
  10.890      0.251 
  10.359      0.155 
  15.038      0.868 
  13.214      0.714 
  13.853      0.867 
  14.064      0.958 
  12.610      0.563 
  15.019      0.955 
  12.805      0.621 
  11.048      0.284 
  13.371      0.772 
  13.261      0.757 
  11.756      0.439 
  14.702      0.957 
  13.248      0.771 
  11.762      0.401 
  13.696      0.848 
  12.588      0.587 
  11.705      0.401 
  12.178      0.524 
