       G      Bp-Rp 
  17.998      3.033 
  16.564      2.784 
  16.676      2.799 
  16.928      2.747 
  17.306      3.087 
  14.526      1.954 
   9.814      0.627 
  15.081      2.214 
  13.267      1.462 
  17.949      2.913 
  11.503      0.927 
  14.345      1.860 
  13.927      1.714 
  12.319      1.137 
  17.535      2.943 
  12.637      1.243 
  15.176      2.184 
  15.473      2.321 
  10.261      0.708 
  14.880      2.170 
  15.748      2.557 
  14.349      1.897 
  13.056      1.408 
  10.735      0.768 
  16.745      2.733 
  14.845      2.090 
  14.685      2.014 
  17.299      2.891 
  15.537      2.424 
  15.937      2.446 
  17.007      2.906 
  16.079      2.485 
  11.453      0.945 
   9.028      0.481 
  14.753      2.041 
  13.927      1.714 
  17.858      3.096 
  12.052      1.071 
  13.248      1.427 
  10.115      0.699 
  17.490      2.868 
  17.289      3.001 
  10.666      0.771 
  15.545      2.421 
  16.530      2.788 
  15.830      2.499 
  17.615      3.004 
  15.763      2.409 
  16.408      2.772 
  13.163      1.422 
  16.125      2.510 
  13.344      1.476 
  13.487      1.543 
  16.054      2.601 
  16.084      2.540 
  17.635      2.937 
  12.771      1.298 
  17.478      3.021 
  15.794      2.507 
  15.931      2.502 
  16.570      2.836 
  13.470      1.588 
  14.711      2.011 
  16.658      2.807 
  15.477      2.330 
  14.474      1.926 
  12.130      1.111 
  14.082      1.789 
  12.426      1.172 
  17.709      3.033 
  15.244      2.221 
  16.113      2.640 
  15.489      2.430 
  14.254      1.866 
  12.506      1.143 
  17.859      2.953 
  13.377      1.534 
  10.581      0.754 
  10.532      0.757 
  17.659      2.974 
   6.681      0.287 
  13.590      1.618 
  14.522      1.960 
  15.851      2.459 
  15.651      2.492 
  13.090      1.393 
  17.400      2.822 
  11.645      0.966 
   9.687      0.644 
  12.027      1.090 
  15.790      2.350 
  13.370      1.555 
  14.139      1.830 
  16.818      2.845 
  16.169      2.518 
  17.963      3.083 
  12.851      1.341 
  17.136      2.984 
  17.159      2.931 
  11.261      0.890 
  12.638      1.244 
  14.995      2.226 
  16.843      2.926 
  16.030      2.536 
  15.861      2.452 
  17.684      3.055 
  16.359      2.759 
  17.412      2.922 
  17.659      2.904 
  16.876      2.906 
  17.466      2.920 
  12.885      1.328 
  17.682      3.017 
  17.527      2.991 
   9.079      0.521 
  15.130      2.202 
  15.602      2.370 
  17.531      2.936 
  17.334      2.954 
  17.444      2.825 
  16.717      2.822 
   9.980      0.646 
  17.764      2.993 
  14.342      1.910 
  15.977      2.575 
  16.627      2.665 
  12.400      1.173 
  16.173      2.682 
  12.078      1.078 
  15.864      2.484 
   9.972      0.663 
  16.285      2.655 
   9.510      0.581 
   8.388      0.356 
  17.321      2.894 
  11.920      1.028 
  17.652      2.902 
  10.447      0.732 
  17.702      2.934 
  17.416      2.938 
  10.504      0.746 
  10.845      0.809 
  13.158      1.434 
  17.112      2.925 
  16.888      2.877 
  17.622      2.880 
  17.010      2.855 
   6.592      0.356 
  13.654      1.603 
  17.117      2.796 
  16.420      2.734 
  16.603      2.691 
   9.320      0.555 
   7.367      0.375 
  15.536      2.310 
  15.737      2.464 
  16.574      2.731 
  13.338      1.507 
  16.698      2.770 
   9.666      0.599 
  14.977      2.119 
  14.913      2.126 
  17.010      2.764 
  15.124      2.251 
  16.643      2.807 
  12.528      1.251 
  13.651      1.628 
   7.653      0.243 
  13.332      1.485 
  16.994      2.752 
  17.811      3.012 
  14.448      1.906 
  15.766      2.471 
  16.534      2.712 
   9.688      0.618 
  13.977      1.754 
   6.159      1.138 
  17.267      2.902 
  17.804      3.007 
  14.645      1.996 
  10.518      0.750 
   9.375      0.564 
  12.866      1.308 
  15.213      2.205 
   6.786      0.282 
   8.322      0.333 
   8.591      0.396 
  13.058      1.350 
  15.805      2.470 
   8.915      0.446 
  12.365      1.186 
  16.820      2.717 
  13.805      1.771 
  16.245      2.653 
   7.758      0.307 
  12.577      1.207 
  14.425      2.045 
   7.982      0.309 
  13.822      1.836 
  17.276      2.730 
  11.974      1.061 
  16.146      2.516 
  13.260      1.466 
   7.989      0.299 
  16.694      2.724 
  11.008      0.830 
  15.652      2.385 
  12.572      1.251 
  15.662      2.408 
  12.770      1.283 
  11.269      0.908 
  11.220      0.909 
  14.422      1.914 
   9.717      0.616 
  15.970      2.464 
  17.980      2.901 
  14.743      2.017 
  10.863      0.816 
  17.097      2.862 
  12.662      1.241 
   6.356      1.102 
   7.487      0.321 
  11.928      1.053 
  11.630      0.966 
  16.046      2.545 
  10.172      0.681 
  15.769      2.503 
   8.646      0.416 
  15.964      2.548 
  15.114      2.257 
  11.431      0.929 
  15.270      2.253 
  17.011      2.814 
  16.137      2.767 
  17.342      2.817 
  17.103      2.903 
  15.303      2.459 
  11.877      1.038 
  16.191      2.713 
   9.742      0.621 
  12.452      1.172 
  10.162      0.676 
  12.847      1.316 
  11.168      0.872 
   9.451      0.566 
  15.196      2.205 
  14.498      1.947 
  10.545      0.750 
  16.828      2.813 
  13.797      1.691 
  16.415      2.736 
   6.251      0.225 
  17.778      3.013 
  17.321      2.843 
   9.982      0.663 
