       V        B-V 
   9.640      0.034 
  11.940      0.470 
  10.930      0.270 
   8.520      0.030 
  10.510      0.198 
  10.310      0.134 
  10.160      0.110 
   8.480      0.051 
  10.460      0.164 
  10.460      0.201 
  11.210      0.350 
  12.200      0.645 
   8.980      0.001 
  11.470      0.360 
   8.520      0.001 
   8.460      0.008 
  11.950      0.469 
  11.450      0.351 
   9.720      0.170 
  11.770      0.278 
   9.890      0.098 
   8.330     -0.006 
  10.740      0.276 
  11.180      0.342 
  10.010      0.115 
   9.930      0.116 
  11.090      0.398 
   7.940     -0.003 
   8.800      0.060 
   9.300      0.053 
  10.450      0.200 
  11.450      0.380 
  11.970      0.677 
   8.850      0.028 
   9.310      0.049 
  11.500      0.360 
  11.450      0.414 
  10.270      0.136 
   8.260      0.010 
  10.280      0.143 
  10.930      0.156 
   9.560      0.060 
   8.890     -0.020 
