       J        J-K 
  15.389      0.454 
  16.324      0.742 
  14.564      0.550 
  16.697      0.726 
  16.427      0.624 
  16.160      0.126 
  12.987      0.747 
  16.522      0.384 
  16.019      0.257 
  16.605      0.493 
  16.155      0.613 
  14.032      0.706 
  16.177      0.666 
  16.085      0.279 
   8.914      1.200 
  15.420      0.885 
  12.159      0.776 
  16.694      0.708 
  16.118      0.865 
  15.770     -0.142 
  15.820      0.629 
  16.016      0.686 
  15.904      0.385 
  15.682      0.791 
  15.273      0.677 
  16.075      0.382 
  16.005      0.869 
  15.855      0.588 
  16.034      0.599 
  16.097      0.532 
  16.495      0.896 
  16.661      1.121 
  15.901      0.319 
  16.114      0.564 
  14.736      0.620 
  14.176      0.232 
  15.494      0.678 
  14.129      0.605 
  13.107      0.697 
  11.945      0.857 
  14.662      0.643 
  16.667      1.015 
  16.027      0.486 
  16.310      0.575 
  15.323      0.757 
  15.690      0.647 
  16.306      0.582 
  16.413      1.078 
  16.483      0.597 
  16.305      0.347 
  15.721      0.701 
  12.134      0.780 
  16.247      0.229 
  15.729      0.610 
  15.780      0.679 
  16.134      0.573 
  15.623      0.911 
  12.641      0.843 
  13.022      0.774 
  15.706      0.583 
  15.381      0.747 
  15.852      0.371 
  16.282      0.543 
  12.351      0.765 
  16.602      0.637 
  15.341      0.883 
  16.085      0.371 
  14.915      0.266 
  15.307      0.373 
  16.446      0.644 
  15.881      0.491 
  16.189      0.891 
  15.076     -0.093 
   9.892      1.093 
  12.603      0.689 
  16.605      1.176 
  12.314      0.752 
  16.235      0.260 
  15.000      0.644 
  12.603      0.689 
  15.957      0.251 
  16.337      0.632 
  16.236      0.946 
  16.495      0.715 
  16.080      0.367 
  16.100      0.385 
  16.078      0.507 
  14.672      0.767 
  16.302      0.385 
  16.347      0.900 
  16.038      0.765 
  15.882      1.189 
  11.821      0.883 
  16.634      1.032 
  15.933      0.421 
  16.018      0.529 
  16.216      0.770 
  15.786      0.600 
  16.709      0.610 
  12.259      0.760 
  14.259      0.755 
  15.987      0.691 
  15.944      0.342 
  15.895      0.347 
  15.577      0.673 
  13.393      0.784 
  16.272      0.117 
  16.059      0.931 
  13.095      0.822 
  15.561      0.648 
  15.119      0.543 
  15.904      0.578 
  15.528      0.822 
  15.391      0.516 
  15.922     -0.002 
  16.242      0.589 
  15.901      0.877 
  15.763      0.570 
  15.054      0.836 
  15.913      0.989 
  16.385      0.589 
  14.790      0.650 
  12.327      0.758 
  15.335      0.521 
  16.549      0.366 
  16.142      0.893 
  16.221      0.816 
  16.684      0.700 
  15.831      0.535 
  15.705      0.638 
  15.987      0.660 
  15.946      0.459 
  15.336      0.725 
  14.423      0.734 
  15.969      0.274 
  16.047      0.768 
  12.293      0.771 
  16.600      1.138 
  16.008      0.401 
  15.145      1.004 
  15.577      0.673 
  15.109      0.547 
  16.258      0.607 
  13.397      0.741 
  15.202      0.538 
  14.784      0.172 
  16.515      0.510 
  15.978      0.526 
  15.197      0.712 
  15.920      0.607 
  16.024      0.509 
  16.617      1.106 
  16.308      0.585 
  15.513      0.338 
  15.457      0.357 
  13.571      0.789 
  15.179      0.323 
  16.641      0.664 
  14.078      0.631 
  14.787      0.756 
  16.258      0.653 
  15.960      0.508 
  16.091      0.541 
  16.115      0.507 
  16.151      0.713 
  15.858      0.847 
  16.504      0.677 
  16.357      0.833 
  16.097      0.485 
  13.571      0.789 
  15.341      0.367 
  16.082      0.557 
  14.848      0.562 
  12.287      0.760 
  15.854      0.238 
  15.170      0.797 
  16.004      0.543 
  13.330      0.801 
  15.537      0.489 
  16.012      0.452 
  15.922     -0.106 
  16.001      0.852 
  15.528      0.822 
  15.840      0.192 
  16.667      0.963 
  16.447      0.932 
  15.706      0.362 
  16.316      0.999 
  15.870      0.767 
  15.394      0.710 
  16.638      0.789 
  16.060      0.555 
  15.394      0.771 
  16.239      0.639 
  16.089      0.857 
  16.095      0.583 
  16.362      0.762 
  15.939      0.295 
  15.726      0.562 
  13.420      0.713 
  14.492      0.677 
  15.765      0.453 
  16.462      0.940 
  12.312      0.756 
  16.154      0.780 
  13.551      0.694 
  16.132      0.649 
  14.254      0.775 
  16.513      1.082 
  15.484      0.606 
  14.753      0.684 
  15.769      0.276 
  15.709      0.656 
  15.292      0.549 
  15.251      0.485 
  16.817      1.126 
  16.154      0.437 
  16.145      0.652 
  15.803      0.239 
  12.622      0.762 
  15.697      0.701 
  15.839      0.547 
  13.019      0.777 
  14.166      0.645 
  16.603      0.579 
  16.438      1.034 
  16.533      1.034 
  16.151      0.673 
  15.795      0.445 
  16.278      0.761 
  16.301      0.695 
  15.699      0.907 
  15.352      0.566 
  15.260      0.775 
  16.238      0.758 
  15.799      0.556 
  15.776      0.367 
  15.997      0.298 
  15.689      0.468 
  14.065      0.741 
  15.825      0.305 
  15.689      0.407 
  15.692      0.363 
  16.432      0.990 
  15.965      0.406 
  16.339      0.368 
  16.090      1.011 
  15.696      0.673 
  16.455      0.429 
  16.789      0.799 
  16.636      0.460 
  15.241      0.333 
   9.830      0.649 
  16.425      0.360 
  14.060      0.366 
  15.985      0.673 
  15.645      0.398 
  16.526      0.644 
  15.510      0.681 
  15.772      0.533 
  16.539      0.708 
  16.458      0.508 
  16.184      0.580 
  15.722      0.505 
  16.256      0.941 
  15.931      0.119 
  15.241      0.333 
  16.515      0.767 
  16.211      0.786 
  15.887      0.471 
  15.976      0.917 
  12.120      0.758 
  15.392      0.645 
  13.959      0.657 
  14.579      0.714 
  16.283      0.659 
  13.107      0.697 
  15.704      0.672 
  16.336      0.727 
  13.263      0.418 
  13.635      0.739 
  16.720      0.826 
  16.158      0.633 
  16.487      0.438 
  15.307      0.373 
  16.242      0.649 
  11.014      0.912 
  15.454      0.575 
  16.221      0.816 
  12.449      0.759 
  15.543      0.567 
  14.439      0.679 
  14.719      0.699 
  16.136      0.866 
  15.914      0.241 
  15.670      0.549 
  16.279      1.120 
  16.416      0.499 
  16.278      0.759 
  15.989      0.494 
  14.166      0.915 
  14.232      0.653 
  16.058      0.532 
  15.384      0.498 
  16.284      0.680 
  16.015      0.963 
  14.166      0.915 
  16.426      0.688 
  16.287      0.698 
  15.468      0.823 
  16.207      0.998 
  16.192      0.373 
  14.770      0.435 
  15.557      0.434 
  14.346      0.600 
  15.811      0.798 
  14.770      0.435 
  10.920      0.700 
  16.240      0.446 
  15.483      0.646 
  14.995      0.440 
  15.579     -0.187 
  15.952      0.109 
  15.917      0.575 
  16.463      1.052 
  16.208      0.136 
  13.826      0.687 
  15.331      0.707 
  15.897      0.342 
  15.868      0.400 
  16.144      0.428 
  15.770      0.287 
  14.983      1.066 
  16.061      0.508 
  15.694      0.713 
  13.022      0.777 
  15.748      0.637 
  12.333      0.735 
  15.174      0.659 
  15.773      0.834 
  15.042      0.505 
  16.549      0.371 
  15.611      0.497 
  15.833      0.429 
  16.280      0.644 
  16.391      0.579 
  15.492      0.614 
  15.951      0.555 
  15.811      0.476 
  16.286      0.756 
  14.228      0.669 
  15.981      0.641 
  14.255      0.715 
  14.032      0.734 
  15.818      0.951 
  16.079      0.611 
  16.557      0.719 
  16.396      0.940 
  16.692      0.682 
  15.088      0.686 
  15.748      0.145 
  16.273      0.820 
  14.963      0.519 
  14.683      0.747 
  16.293      0.447 
  15.828      0.585 
  15.989      1.007 
  16.071      0.464 
  15.983      0.526 
  15.684     -0.049 
  13.069      0.456 
  16.425      0.378 
  12.878      0.781 
  16.769      0.787 
  16.259      0.695 
  15.643      0.612 
  14.840      0.779 
  15.903      0.744 
  15.367      0.688 
  15.756      0.418 
  16.101      0.734 
  12.296      0.769 
  15.865      0.817 
  16.259      0.815 
  16.331      0.778 
  16.467      0.493 
  15.083      0.207 
  15.829      0.349 
  12.920      0.776 
  15.351      0.819 
  15.187      0.130 
  16.335      1.176 
  16.626      0.831 
  16.114      0.839 
  15.522      0.646 
  15.828      0.105 
  15.438      0.202 
  15.089      0.662 
  15.043      0.965 
  15.819      0.609 
  14.503      0.766 
  16.120      0.702 
  15.725      0.938 
  16.179      0.899 
  16.428      0.763 
  14.952      0.509 
  12.653      0.809 
  14.937      0.267 
  15.866      0.370 
  15.372      0.676 
  16.163      0.883 
  12.924      0.797 
  16.109      1.072 
  12.242      0.749 
  16.354      0.908 
  16.245      0.514 
  16.276      0.744 
  15.924      0.844 
  14.477      0.606 
  15.279      1.063 
  15.960      0.339 
  15.298      0.486 
  15.820      0.594 
  13.423      0.723 
  12.886      0.737 
  15.965      0.699 
  15.831      0.642 
  16.229      0.707 
  15.937      0.493 
  15.577      0.257 
  15.348      0.377 
  16.110      0.805 
  16.339      0.754 
  15.186      0.775 
  16.075      0.369 
  15.422      0.810 
  16.367      0.352 
  15.628      0.317 
  14.397      0.406 
  12.703      0.783 
  16.553      0.717 
  15.794      0.583 
  15.936      1.116 
  15.196      0.634 
  16.213      0.648 
  14.980      0.640 
  14.783      0.671 
  15.256      0.271 
  14.770      0.435 
  15.666      0.698 
  14.583      0.649 
  15.038      0.598 
  16.211      1.177 
  16.405      0.834 
  16.173      0.634 
  15.746      0.334 
  16.347      1.076 
  16.091      0.724 
  15.754      0.545 
  12.947      0.799 
  16.421      0.701 
  15.348      0.432 
  15.649      0.683 
  12.226      0.730 
  16.424      0.991 
  14.198      0.706 
  15.696      0.749 
  15.275      0.348 
  15.732      0.565 
  14.705      0.561 
  16.049      0.568 
  16.494      1.137 
  16.590      0.750 
  12.974      0.742 
  16.029      0.520 
  15.196      0.634 
  16.389      1.095 
  15.513      0.644 
  16.108      0.361 
  15.989      0.483 
  16.059      0.508 
  16.129      0.618 
  16.191      0.686 
  15.216      0.411 
  14.080      0.693 
  16.132      0.841 
  16.283      1.027 
  15.731      0.285 
  16.139      0.861 
  16.463      1.073 
  14.668     -0.322 
  16.187      1.165 
  16.354      0.812 
  16.037      0.660 
  16.060      0.001 
  16.287      0.679 
  15.880      0.580 
  16.372      0.806 
  16.297      0.675 
  16.420      0.294 
  16.261      0.472 
  15.820      0.594 
  16.365      0.700 
  16.127      1.012 
  14.325      0.380 
  16.795      0.750 
  14.296      0.695 
  15.906      0.764 
  16.175      1.030 
  15.919      0.492 
  15.532      0.825 
  16.016      0.866 
  15.361      0.437 
  15.387      0.505 
  16.388      0.858 
  16.099      0.140 
  15.003      0.401 
  15.294      0.730 
  16.333      0.983 
  15.706      0.265 
  15.662      0.626 
  15.832      1.115 
  15.649      0.530 
  16.476      1.091 
  11.922      0.672 
  16.256      0.863 
  16.137      0.950 
  14.641      0.583 
  16.225      0.941 
  14.791      0.702 
  15.397      0.658 
   7.916      1.246 
  15.807      0.476 
  15.896      0.246 
   7.916      1.246 
  16.240      0.703 
  15.164      0.247 
  16.365      0.661 
  15.139      0.411 
  12.296      0.773 
  16.058      0.773 
  15.938      0.388 
  15.743      0.775 
  12.036      0.871 
  16.021      0.560 
  15.972      1.003 
  15.348      0.377 
  12.539      0.833 
  16.224      1.099 
  15.354      0.446 
  16.342      0.190 
  16.395      0.414 
  16.443      1.136 
  10.589      1.001 
  15.287      0.361 
  15.854      0.510 
  13.596      0.756 
  15.792      0.511 
  12.600      0.773 
  13.903      0.814 
  16.264      0.345 
  16.385      0.630 
  15.694      0.695 
  16.026      0.693 
  16.358      0.302 
  16.351      0.897 
  15.554      0.569 
  15.612      0.501 
  16.703      0.974 
  16.649      1.050 
  15.751      0.182 
  16.103      0.741 
  16.311      0.713 
  16.819      0.679 
  15.888      0.715 
  15.814      0.803 
  16.461      0.584 
  15.648      0.564 
  13.710      0.679 
  16.137      0.865 
  15.197      0.137 
  15.720      0.486 
  15.859      0.335 
  15.869      0.341 
  16.251      0.633 
  15.348      0.432 
  15.737      0.482 
  16.009      0.549 
  16.130      0.522 
  15.179      0.513 
  16.215      0.504 
  15.614      0.501 
  14.085      0.741 
  14.639      0.609 
  16.193      0.954 
  16.188      1.057 
  15.338      0.414 
  16.284      1.086 
  12.778      0.810 
  15.706      0.603 
  14.983      0.747 
  16.315      0.792 
  16.441      0.610 
  16.039      0.347 
  16.271      0.668 
  16.139      1.088 
  16.472      0.617 
  15.774      0.415 
  16.264      0.688 
  15.903      0.944 
  14.273      0.620 
  15.815      0.552 
  16.351      1.127 
  15.954      0.332 
  15.679      0.645 
  16.681      1.068 
  16.128      0.826 
  15.888      0.637 
  15.607      0.259 
  15.662      0.602 
  12.223      0.725 
  13.310      0.756 
  15.546      0.361 
  16.488      0.980 
  16.023      0.395 
  16.284      0.859 
  15.926      0.434 
  15.643      0.253 
  15.891      0.403 
  16.473      0.741 
  16.446      0.930 
  16.063      0.462 
  15.636      0.318 
  15.463      0.842 
  16.070      0.656 
  15.742      0.650 
  16.069      0.746 
  15.610      0.203 
  16.044      0.960 
  13.050      0.783 
  16.477      1.061 
  16.023      0.620 
  14.450      0.632 
  16.274      0.946 
  15.763      0.040 
  15.627      0.587 
  15.476      0.539 
  16.186      0.630 
  12.299      0.750 
  16.405      1.042 
  14.925      0.709 
  13.294      0.788 
  16.727      1.032 
  14.447      0.268 
  16.192      0.539 
  15.427      0.684 
  15.728      0.299 
  16.376      0.558 
  16.155      0.218 
  16.546      0.746 
  10.732      0.963 
  16.215      0.360 
  16.520      0.701 
  15.972      0.563 
  16.155      0.218 
  16.261      0.876 
  15.818      0.653 
  16.044      0.641 
  15.670      0.003 
  16.132      0.543 
  15.682      0.401 
  16.394      0.909 
  15.409      0.161 
  16.171      0.782 
  15.372      0.460 
  16.163      1.195 
  16.426      0.437 
  12.431      0.846 
  13.801      0.634 
  15.736      0.406 
  15.722      0.693 
  15.256      0.271 
  16.460      0.786 
  16.388      0.858 
  15.650      0.824 
  15.148      0.516 
  15.468      0.620 
  15.489      0.467 
  15.468      0.620 
  16.325      0.974 
  12.263      0.731 
  16.232      0.733 
  14.887      0.844 
  15.914      0.623 
  15.428      0.597 
  15.327      0.331 
  15.680      0.503 
  15.005      0.254 
  14.995      0.440 
  16.193      1.068 
  16.647      1.138 
  15.827      0.743 
  16.114      0.718 
  12.174      0.849 
  16.213      0.156 
  15.288      0.622 
  15.705      0.640 
  12.174      0.849 
  15.096      0.326 
  16.572      0.458 
  15.734      0.838 
  14.892      0.663 
  16.313      0.555 
  16.287      0.827 
  15.441      0.761 
  15.718      0.328 
  11.135      0.950 
  16.217      0.474 
  16.609      1.115 
  12.430      0.781 
  15.839     -0.048 
  16.076      0.771 
  16.365      0.802 
  12.977      0.814 
  15.857      0.491 
  16.108      0.174 
  15.522      0.646 
  15.636      0.434 
  16.382      1.041 
  15.760      0.650 
  16.697      0.976 
  11.652      0.919 
  16.599      1.061 
  16.477      1.061 
  15.815      0.567 
  15.643      0.253 
  12.278      0.854 
  15.682      0.304 
  15.389      0.749 
  15.747      0.890 
  14.852      0.680 
  12.607      0.638 
  16.840      1.181 
  15.435      0.569 
  15.222      0.358 
  16.180      0.685 
  15.410      0.891 
  15.812      0.348 
  15.566      0.274 
  15.435      0.569 
  15.351      0.366 
  14.611      0.683 
  15.804      0.583 
  12.108      0.841 
  14.674      0.641 
  14.996      0.230 
  12.333      0.735 
  16.525      0.843 
  16.020      0.710 
  15.206      0.636 
  12.333      0.735 
  12.513      0.809 
  15.735      0.653 
  11.969      0.723 
  15.947      0.631 
  16.469      0.866 
  12.607      0.638 
  16.037      0.895 
  15.803      0.655 
  16.339      0.831 
  15.787      0.313 
  16.051      0.391 
  13.062      0.804 
  12.490      0.786 
  12.280      0.767 
  12.878      0.781 
  16.237      0.562 
  14.536      0.709 
  15.496      0.527 
  14.541      0.742 
  16.183      0.432 
  15.996      0.789 
  16.385      0.630 
  16.057      0.511 
  16.134      1.190 
  15.553      0.718 
  16.152      0.908 
  16.491      0.915 
  16.241      0.765 
  15.744      0.577 
  16.663      0.870 
  15.442      0.641 
  16.421      0.802 
  12.786      0.810 
  15.607      0.259 
  16.707      1.044 
  12.211      0.767 
  16.268      0.212 
  14.477      0.606 
  16.668      0.746 
  16.469      0.919 
  14.963      0.519 
  15.869      0.434 
  15.720      0.329 
  15.679      0.202 
  15.349      0.506 
  15.501      0.627 
  16.471      1.040 
  15.553      0.718 
  15.812      0.246 
  15.864      0.552 
  15.503      0.525 
  15.850      0.518 
  15.811      0.305 
  16.772      0.986 
  16.024      0.951 
  16.056      0.427 
   9.041      1.226 
  16.621      0.463 
  16.337      0.502 
  15.657      1.153 
  15.857      0.491 
  15.358      0.874 
  14.274      0.831 
  16.384      0.467 
  15.820      0.669 
  16.078      1.054 
  16.532      0.540 
  15.874      0.111 
  15.773      0.735 
  12.280      0.767 
  15.458      0.855 
  12.878      0.781 
  16.212      0.591 
  13.645      0.748 
  15.807      0.643 
  16.576      0.709 
  15.807      0.643 
  10.732      0.963 
  15.955      0.272 
  16.480      0.487 
  15.816      0.481 
  14.988      0.618 
  15.668      0.581 
  15.802      0.464 
  16.065      0.624 
  16.477      0.566 
  15.682      0.304 
  12.251      0.734 
  16.380      0.273 
  15.824      0.543 
  15.066      0.587 
  15.793      0.595 
  15.583      0.438 
  15.252      0.608 
  15.632      0.348 
  14.937      0.267 
  16.694      0.954 
  16.023      0.868 
  13.024      0.780 
  16.192      0.776 
  15.359      0.678 
  13.136      0.776 
  15.568      0.788 
  16.062      0.495 
  14.581      0.410 
  15.420      0.514 
  15.622      0.714 
  16.019      0.272 
  16.362      0.470 
  14.975      0.630 
  16.473      0.671 
  13.935      0.657 
  16.148      1.057 
  14.613      0.788 
  16.318      0.605 
  15.514      0.438 
  16.242      0.528 
  16.072      0.731 
  15.983      0.470 
  15.902      0.794 
  15.765      0.361 
  15.965      0.407 
  15.851      0.097 
  15.429      0.376 
  15.670      0.003 
  14.624      0.657 
  15.976      0.325 
  14.820     -0.513 
  16.600      0.875 
  14.269      0.692 
  15.867      0.547 
  15.801      0.611 
  16.604      1.167 
  16.015      0.562 
  10.476      1.008 
  15.799      0.540 
  15.474      0.533 
  16.317      0.761 
  16.222      0.905 
  14.823      0.634 
  16.693      1.050 
  16.164      0.378 
  13.184      0.762 
  13.746      0.827 
  13.022      0.777 
  15.569      0.964 
  16.301      0.372 
  15.970      0.510 
  14.616      0.700 
  16.840      1.181 
  16.268      0.588 
  15.356      0.522 
  16.143      0.628 
  15.391      0.743 
  15.839      0.554 
  16.405      0.831 
  16.032      0.696 
  11.183      0.932 
  16.228      0.488 
  15.897      0.665 
  15.295      0.474 
  13.488      0.957 
  12.234      0.837 
  15.770      0.872 
  15.726      0.568 
  15.870      0.618 
  14.280      0.702 
  16.179      1.071 
  15.858      0.720 
  15.791      0.342 
  15.281      0.679 
  16.207      1.009 
  16.120      0.514 
  13.267      0.738 
  15.836      0.261 
  15.878      0.393 
  16.115      0.761 
  15.548      0.351 
  15.889      0.671 
  10.598      0.990 
   8.176      1.302 
  16.706      0.837 
  16.300      0.924 
  16.462      0.983 
  13.739      0.684 
  16.543      0.467 
  16.444      1.053 
  13.547      0.478 
  15.791      0.654 
  16.066      0.463 
  15.590      0.244 
  16.575      0.896 
  15.840      0.549 
  15.435      0.713 
  15.975      0.699 
  16.329      1.049 
  16.226      0.533 
  16.168      0.701 
  12.273      0.773 
  15.452      0.368 
  15.579      0.080 
  16.222      0.348 
  16.137      0.449 
  15.854      0.702 
  16.769      0.765 
  15.730      0.911 
  16.687      1.002 
  15.762      1.133 
  16.249      0.655 
  15.979      0.478 
  11.969      0.723 
  13.221      0.751 
  15.776      0.281 
  16.089      0.668 
  16.247      0.881 
  13.909      0.777 
  15.723      0.525 
  16.087      0.124 
  16.375      0.803 
  13.294      0.788 
  15.827      0.497 
  16.506      0.780 
  14.352      0.694 
  15.957      0.197 
  15.401      0.671 
  15.971      0.617 
  15.854      0.098 
  16.357      1.113 
  16.465      1.029 
  14.565      0.741 
  15.911      0.532 
  16.478      0.861 
  16.143      0.078 
  15.722      0.693 
  12.108      0.764 
  14.703      0.803 
  14.471      0.732 
  15.503      0.525 
  14.193      0.931 
  16.509      0.442 
  16.127      0.648 
  14.011      0.620 
  14.995      0.539 
  15.015      0.471 
  15.674      0.765 
  15.019      0.705 
  15.428      0.597 
  15.123      0.749 
  15.966      0.602 
  15.574      0.301 
  15.726      0.568 
  15.488      0.691 
  16.790      0.987 
  13.072      0.736 
  16.389      0.620 
  15.043      0.965 
  16.308      0.657 
  15.279      1.063 
  13.198      0.776 
  15.818      0.951 
  15.562      0.953 
  13.265      0.760 
  15.195      0.283 
  16.075      0.716 
  14.873      0.623 
  16.089      0.518 
  15.286      0.935 
  15.808      0.266 
  13.460      0.731 
  15.866      0.370 
  15.128      0.771 
  13.069      0.809 
  16.134      0.995 
  15.273      0.468 
  16.352      0.847 
  15.677      0.500 
  16.297      0.795 
  16.715      1.149 
  15.795      0.740 
  16.268      0.523 
  15.329      0.522 
  13.460      0.731 
  16.252      0.968 
  14.302      0.578 
  12.244      0.776 
  15.954      0.316 
  16.038      0.321 
  12.947      0.799 
  15.141      0.457 
  16.022      0.618 
  14.369      0.341 
  16.165      0.558 
  15.718      0.538 
  16.397      0.907 
  15.518      0.682 
  15.903      0.744 
  15.558      0.361 
  16.406      0.407 
  15.960      1.163 
  16.639      0.691 
  16.411      0.626 
  15.384      0.092 
  14.013      0.180 
  16.054      0.528 
  16.173      0.634 
  16.421      0.884 
  15.643      0.428 
  15.867      0.502 
  14.302      0.578 
  15.967      0.643 
  10.789      1.024 
  15.202      0.632 
  16.242      0.787 
  16.187      0.654 
  16.162      0.393 
  16.118      0.259 
  14.733      0.776 
  16.184      0.874 
  12.270      0.786 
  15.241      0.571 
  14.359      0.760 
  16.371      0.572 
  16.057      0.671 
  15.987      0.605 
  12.222      0.787 
  16.067      0.336 
  15.619      0.702 
  14.902      0.219 
  13.810      0.749 
  13.407      0.774 
  16.218      0.752 
  15.934      0.483 
  15.841      0.471 
  14.605      0.766 
  16.249      0.622 
  15.333      0.692 
  14.359      0.714 
  15.963      0.630 
  15.720      0.681 
  14.653      0.733 
  16.006      0.546 
  15.714      0.613 
  16.475      0.855 
  16.568      0.691 
  14.977      0.575 
  14.666      0.621 
  16.157      0.302 
  15.662      0.533 
  15.742      0.650 
  16.224      0.796 
  14.977      0.575 
  16.133      0.234 
  13.184      0.762 
  15.546      0.695 
  15.828      0.455 
  15.678      0.664 
  15.784      0.411 
  15.945      0.261 
  13.890      0.690 
  16.179      0.547 
  14.028      0.670 
  16.380      0.329 
  16.021      0.726 
  16.316      0.588 
  15.248      0.274 
  15.879      0.463 
  15.926      1.007 
  13.558      0.768 
  16.308      0.650 
  16.442      0.527 
  16.500      0.859 
  15.397      0.491 
  14.704      0.758 
  16.098      0.712 
  16.661      0.917 
  13.530      0.754 
  13.072      0.736 
  16.349      1.050 
  14.772      0.636 
  16.358      0.735 
  15.734      0.455 
  16.690      0.695 
  16.333      0.987 
  14.578      0.701 
  16.643      0.804 
  15.550      0.618 
  16.655      0.654 
  13.859      0.689 
  16.125      0.425 
  15.845      0.552 
  16.505      0.830 
  15.743      0.471 
  15.864      0.189 
  16.158      0.091 
  15.719      0.755 
  14.314      0.653 
  13.184      0.762 
  16.144      1.016 
  11.857      0.879 
  15.751      0.182 
  16.466      0.916 
  15.740      0.659 
  16.110      0.662 
  15.938      0.703 
  16.446      0.917 
  12.248      0.760 
  15.751      0.182 
  16.119      0.250 
  15.042      0.505 
  16.574      0.971 
  15.853      0.585 
  15.853      0.585 
  15.051      1.117 
  15.298      0.822 
  15.751      0.182 
  15.940      0.465 
  15.128      0.452 
  16.263      0.856 
  14.675      0.621 
  13.558      0.768 
  15.899      0.459 
  16.136      0.559 
  15.963      0.519 
  16.385      0.813 
  15.769      0.195 
  16.185      0.745 
  13.737      0.649 
  15.024      0.662 
  16.263      0.781 
  15.910      0.599 
  15.283      0.544 
  16.765      0.983 
  16.447      1.061 
  11.234      0.818 
  15.749      0.481 
  16.480      0.323 
  12.342      0.796 
  15.856      0.460 
  12.301      0.783 
  15.813      0.473 
  16.183      0.530 
  16.055      0.637 
  15.928      0.567 
  16.255      1.090 
  15.875      0.818 
  16.089      0.655 
  16.289      0.880 
  16.619      0.852 
  15.370      0.693 
