       J        J-K 
  16.495      0.830 
  14.233      0.453 
  15.150      0.638 
  14.747      0.411 
  16.300      1.010 
  15.932      0.473 
  16.416      0.593 
  15.808      0.632 
  15.590      0.034 
  15.418      0.514 
  12.317      0.746 
  15.654      0.507 
  14.750      0.339 
  16.041      0.490 
  15.920      0.483 
  14.448      0.343 
  14.318      0.723 
  15.880      0.287 
  14.382      0.653 
  15.644      0.430 
   9.564      1.226 
  16.317      0.880 
  15.778      0.408 
  15.779      0.760 
  15.708      0.537 
  15.754      0.257 
  15.903      0.946 
  16.443      0.968 
  14.487      0.718 
  14.475      0.614 
  15.544      0.524 
  16.391      0.860 
  15.759      0.506 
  15.873      0.562 
  16.261      0.488 
  15.791      0.673 
  15.728      0.685 
  15.281      0.772 
  15.666      0.379 
  16.097      0.314 
  16.067      0.454 
  15.805      0.423 
  15.735      0.340 
  15.732      0.576 
  16.477      0.779 
  15.724      0.749 
  14.879      0.819 
  16.362      0.810 
  15.864      0.380 
  16.098      0.895 
  14.982      0.802 
  11.675      0.756 
  15.051      0.722 
  15.546      0.806 
  15.347      0.759 
  12.318      0.781 
  15.960      0.699 
  16.091      0.275 
  16.040      0.462 
  16.418      0.251 
  16.631      1.087 
  14.763      0.543 
  16.378      1.096 
  16.476      0.746 
  16.282      0.651 
  15.399      0.586 
  15.131      0.296 
  15.757      0.611 
  15.190      0.701 
  16.156      0.440 
  15.098      0.621 
  16.169      0.332 
  15.606      0.632 
  16.414      0.896 
  16.403      0.486 
  15.963      0.420 
  16.222      0.490 
  15.954      0.941 
  16.268      1.044 
  15.893      0.538 
  16.692      1.145 
  15.556      0.513 
  16.097      0.570 
   8.914      1.200 
  15.369      0.842 
  16.286      0.397 
  15.925      0.345 
  16.473      0.379 
  15.856      0.637 
  15.061      0.200 
  15.868      0.365 
  15.961      0.799 
  14.543      0.407 
  15.903      0.260 
  15.800      0.489 
  12.308      0.761 
  15.790      0.514 
  16.236      0.174 
  16.749      0.869 
  16.383      0.344 
  12.827      0.794 
  16.506      0.390 
  16.367      0.771 
  15.582      0.445 
  15.867      0.480 
  13.747      0.459 
  14.543      0.733 
  16.538      0.900 
  16.470      1.026 
  16.623      0.561 
  15.582      0.445 
  15.978      0.639 
  16.748      1.067 
  15.289      0.514 
  15.755      0.392 
  14.794      0.651 
  16.292      1.044 
  15.829      0.393 
  15.876      0.320 
  15.658      0.625 
  16.222      0.504 
  16.500      0.509 
  15.901      0.739 
  15.294      0.393 
  16.494      0.812 
  13.108      0.782 
  15.991      1.200 
  15.780      0.565 
  16.598      0.840 
  16.138      0.482 
  15.674      0.408 
  15.982      0.821 
  15.079      0.714 
  16.648      0.912 
  15.998      0.575 
  15.978      0.026 
   7.356      1.155 
  14.685      0.682 
  15.670      0.674 
  15.944      0.342 
  15.642      0.423 
  16.146      0.955 
  14.540      0.785 
  15.762      0.636 
  16.527      0.713 
  15.000      0.644 
  15.537      0.524 
  15.734      0.308 
  16.378      1.091 
  15.997      0.407 
  15.855      0.588 
  16.166      0.772 
  15.945      0.252 
  15.968      0.619 
  15.606      0.667 
  16.133      1.056 
  15.823      0.504 
  15.537      0.303 
  16.087      0.722 
  15.970      0.712 
  16.436      0.704 
  15.807      0.410 
  14.325      0.717 
  15.260      0.775 
  14.662      0.411 
  16.418      0.783 
  16.418      0.511 
  15.954      0.616 
  16.225      0.391 
  16.275      0.761 
  15.891      0.239 
  15.772      0.578 
  16.012      0.599 
  14.685      0.730 
  15.699      0.500 
  16.487      0.605 
  15.982      0.299 
  14.977      0.527 
  15.744      0.520 
  14.315      0.395 
  14.420      0.692 
  16.007      0.645 
  15.829      0.542 
  14.534      0.507 
  12.702      0.767 
  15.030      0.736 
  15.755      0.675 
