       V        B-V 
  14.580      1.240 
  15.080      1.310 
  14.030      1.270 
  15.100      1.190 
  14.550      1.230 
  14.080      1.260 
  11.770      1.300 
  14.000      1.330 
  13.450      1.340 
  14.950      1.330 
  14.100      1.260 
  15.100      1.320 
  12.110      1.780 
  14.980      1.260 
  14.460      1.200 
  12.350      1.340 
  14.220      1.270 
  14.120      1.180 
  12.760      1.240 
  13.870      1.220 
  13.120      1.130 
  15.140      1.190 
  15.940      1.320 
  14.620      1.180 
  15.010      1.220 
  14.970      1.200 
  13.810      1.180 
  15.730      1.280 
  13.440      1.330 
  12.570      2.580 
  15.330      1.350 
  14.280      1.340 
  16.070      1.350 
  13.900      1.320 
  14.760      1.230 
  12.200      1.320 
  15.420      1.190 
  13.490      1.190 
  15.590      1.270 
  13.920      1.130 
  15.680      1.390 
  12.070      2.750 
  15.530      1.300 
  17.430      1.460 
  18.750      1.810 
  16.760      1.440 
  17.860      1.390 
  17.240      1.490 
  18.420      1.790 
  18.180      1.710 
  17.550      1.440 
  18.750      1.750 
  17.080      1.410 
  15.990      1.410 
  17.220      1.460 
  19.120      1.820 
  16.480      1.260 
  16.150      1.230 
  16.110      1.240 
  18.000      1.530 
  16.350      1.200 
  17.700      1.570 
  16.200      1.370 
  16.800      1.360 
  16.100      1.340 
