       J        J-K 
  11.540      0.707 
   7.426      0.133 
  13.787      0.869 
  10.012      0.357 
  13.043      0.835 
  11.088      0.627 
  13.047      0.864 
  11.205      0.631 
  10.026      0.383 
  12.235      0.863 
   8.935      0.213 
  13.298      0.898 
  13.898      0.898 
  14.762      0.875 
  12.475      0.840 
   9.864      0.357 
  14.010      0.846 
  11.162      0.626 
   5.180      0.791 
   7.065      0.058 
  10.660      0.487 
  10.421      0.425 
  13.273      0.879 
   9.337      0.288 
  13.096      0.917 
   8.127      0.076 
  13.190      0.863 
  12.593      0.876 
  10.294      0.383 
  12.737      0.846 
  13.989      0.855 
  13.252      0.909 
  14.338      0.883 
  14.091      0.931 
  12.644      0.885 
  10.597      0.465 
  13.314      0.879 
   9.004      0.241 
  11.006      0.571 
   9.330      0.251 
  11.282      0.642 
  10.091      0.385 
   8.735      0.201 
  12.752      0.871 
  12.286      0.900 
   9.640      0.304 
   8.928      0.259 
  13.836      0.869 
  11.809      0.799 
  13.456      0.844 
   5.940      0.061 
  14.587      0.913 
  14.242      0.884 
   9.177      0.269 
   7.208      0.045 
  10.615      0.457 
  13.748      0.895 
  12.600      0.820 
  13.368      0.828 
  10.841      0.553 
   8.364      0.174 
   8.591      0.231 
   9.621      0.279 
  14.510      0.916 
  11.394      0.698 
  10.302      0.421 
  10.730      0.471 
   9.223      0.290 
   8.516      0.165 
  11.655      0.758 
  14.164      0.848 
   6.368      0.088 
  11.485      0.728 
  12.768      0.830 
  13.892      0.880 
  12.629      0.888 
   7.226      0.134 
  12.619      0.899 
  12.360      0.814 
  11.997      0.809 
  13.268      0.851 
  10.874      0.505 
  11.752      0.774 
   9.869      0.325 
  13.186      0.883 
  13.705      0.863 
   8.693      0.217 
  12.952      0.849 
  12.989      0.885 
  14.214      0.927 
  13.456      0.895 
  13.959      0.863 
  13.917      0.880 
  10.719      0.506 
  14.527      0.926 
   9.283      0.275 
  12.676      0.887 
   8.563      0.198 
   9.530      0.362 
  11.455      0.693 
  14.401      0.854 
  14.357      0.952 
  14.133      0.802 
  10.183      0.430 
   7.545      0.114 
  10.556      0.423 
  13.773      0.843 
  13.658      0.891 
  13.323      0.926 
  14.220      0.948 
   9.229      0.306 
  11.746      0.757 
  13.117      0.870 
  14.095      0.840 
  11.080      0.572 
  14.657      0.892 
   8.857      0.224 
   7.875      0.101 
  14.321      0.968 
   9.659      0.330 
  14.515      0.912 
  10.392      0.464 
  12.993      0.894 
  13.890      0.813 
  13.497      0.905 
  12.839      0.895 
  12.743      0.854 
  13.481      0.856 
  13.775      0.857 
  12.949      0.895 
  14.542      0.847 
  13.721      0.879 
  14.388      0.877 
  13.526      0.863 
  11.817      0.843 
  14.456      0.891 
  11.633      0.857 
   8.527      0.158 
   8.188      0.144 
  12.531      0.892 
   6.498     -0.034 
  13.778      0.855 
  13.048      0.856 
  11.927      0.807 
   9.463      0.321 
  13.234      0.879 
  12.713      0.886 
  10.554      0.468 
   7.926      0.136 
  13.106      0.998 
  11.243      0.644 
  14.259      0.838 
  12.265      0.863 
  12.931      0.825 
   9.137      0.285 
   9.031      0.258 
  13.573      0.889 
  13.796      0.916 
  10.765      0.507 
  14.379      0.976 
   5.240      0.557 
  10.755      0.537 
  14.313      0.850 
  13.567      0.880 
  11.298      0.631 
  11.466      0.694 
  10.185      0.411 
  11.833      0.811 
  11.497      0.734 
  12.860      0.889 
  13.106      0.998 
   4.692      0.491 
  13.769      0.976 
   8.444      0.164 
  11.634      0.763 
  10.757      0.563 
  14.264      0.874 
  10.439      0.432 
  11.884      0.813 
  10.533      0.465 
  12.756      0.899 
  14.185      0.852 
  14.377      0.902 
  14.353      0.851 
  12.684      0.922 
  13.312      0.871 
  14.548      0.910 
   8.012      0.148 
  11.679      0.801 
  12.054      0.844 
   9.389      0.259 
  10.502      0.452 
  12.931      0.830 
  11.116      0.622 
  14.733      0.883 
  14.167      0.930 
  12.903      0.859 
  13.717      0.877 
  14.370      0.912 
  14.509      0.968 
  11.141      0.597 
   8.717      0.235 
   8.983      0.218 
  13.549      0.894 
  13.483      0.889 
  14.329      0.815 
  13.117      0.851 
  13.071      0.884 
  12.967      0.878 
  13.440      0.805 
  13.426      0.916 
  13.351      0.831 
  11.333      0.656 
  14.401      0.830 
  11.225      0.623 
  11.285      0.656 
  12.936      0.863 
  11.744      0.755 
  12.567      0.842 
  11.325      0.647 
  11.587      0.728 
  10.931      0.568 
  14.634      0.936 
  14.354      0.898 
  13.225      0.935 
  14.264      0.912 
  13.732      0.926 
  13.686      0.892 
   9.725      0.356 
  12.663      0.904 
  13.802      0.892 
  12.756      0.849 
  12.022      0.829 
  14.636      0.866 
  12.761      0.868 
  13.875      0.853 
  14.505      0.849 
  11.119      0.580 
  13.898      0.884 
  12.930      0.833 
   7.140      0.023 
  14.368      0.896 
  10.497      0.485 
  12.937      0.895 
  13.137      0.846 
  11.210      0.641 
   5.374      0.377 
  11.674      0.907 
  11.634      0.734 
  13.798      0.850 
  11.145      0.585 
  11.681      0.754 
  11.277      0.650 
  13.394      0.847 
  14.105      0.895 
  13.683      0.905 
   9.463      0.281 
  12.085      0.865 
  14.019      0.909 
  12.268      0.857 
  12.683      0.867 
  10.780      0.489 
   7.860      0.091 
  14.796      0.967 
  14.396      0.911 
  13.451      0.906 
  12.080      0.780 
  14.135      0.957 
  10.476      0.450 
  14.518      0.975 
  14.027      0.891 
  13.129      0.881 
  12.132      0.761 
  12.945      0.902 
  12.936      0.913 
  12.128      0.803 
  12.909      0.849 
  12.347      0.844 
   7.700      0.090 
   8.603      0.190 
  10.067      0.362 
  13.360      0.854 
  11.240      0.838 
  13.570      0.911 
  13.058      0.872 
  14.618      0.955 
  12.804      0.891 
  12.177      0.854 
  12.166      0.858 
  14.022      0.906 
  13.664      0.907 
  13.163      0.878 
  12.186      0.819 
  14.279      0.920 
   8.855      0.231 
   8.273      0.173 
  14.652      0.840 
  10.042      0.393 
  12.578      0.825 
  12.721      0.934 
  10.259      0.428 
  11.556      0.730 
   8.536      0.159 
  13.298      0.870 
   9.189      0.269 
   7.911      0.107 
  13.463      0.806 
  13.718      0.915 
  12.230      0.874 
  14.378      0.813 
  10.252      0.446 
  14.574      0.896 
  13.161      0.891 
  12.694      0.869 
  10.106      0.389 
  12.104      0.878 
  14.453      0.911 
   9.696      0.329 
  12.358      0.867 
  13.619      0.869 
   9.199      0.238 
  14.011      0.874 
  10.175      0.373 
  10.075      0.389 
  14.483      0.884 
  11.781      0.782 
  12.878      0.864 
  12.822      0.836 
   7.370      0.082 
  13.403      0.904 
  12.774      0.867 
  12.492      0.903 
  10.825      0.512 
  13.867      0.876 
  14.486      0.908 
  13.062      0.889 
  12.630      0.865 
   8.794      0.208 
  11.784      0.871 
  11.379      0.682 
  12.666      0.872 
  10.358      0.426 
  12.383      0.869 
  14.360      0.820 
  14.053      0.897 
   7.209      0.039 
  13.479      0.906 
  14.395      0.819 
  13.024      0.882 
  11.670      0.739 
  11.995      0.836 
  12.453      0.864 
  12.533      0.874 
  13.014      0.867 
  12.891      0.883 
  13.805      0.943 
   7.779      0.117 
  14.356      0.908 
  11.183      0.660 
  14.156      0.956 
  10.725      0.481 
  13.770      0.873 
  13.856      0.883 
  10.187      0.384 
  10.079      0.390 
  14.760      0.983 
  13.366      0.842 
  13.222      0.865 
  10.340      0.402 
  12.985      0.874 
  11.867      0.816 
  12.602      0.886 
  10.982      0.541 
  12.596      0.840 
  12.462      0.834 
  14.083      0.945 
  13.961      0.915 
  12.324      0.870 
  12.507      0.873 
  12.043      0.811 
  14.610      0.889 
  14.355      0.907 
  14.682      0.900 
  11.953      0.834 
  13.658      0.885 
  11.015      0.579 
  13.282      0.851 
  13.226      0.932 
  11.440      0.688 
  12.631      0.884 
  14.319      0.889 
  10.012      0.328 
  11.730      0.811 
  10.492      0.415 
  13.883      0.915 
  12.883      0.901 
  13.251      0.860 
  14.611      0.984 
  12.244      0.836 
  11.715      0.758 
  13.335      0.853 
  14.077      0.883 
  11.038      0.596 
   8.541      0.194 
  13.601      0.886 
  13.085      0.875 
  13.663      0.904 
  14.454      0.917 
   7.876      0.115 
   8.211      0.148 
  13.597      0.878 
  14.141      0.962 
  13.877      0.838 
  12.416      0.897 
  12.750      0.847 
  13.331      0.876 
  12.883      0.877 
   9.551      0.294 
  14.289      0.836 
  13.463      0.895 
  10.386      0.412 
  11.043      0.573 
  14.685      0.803 
