       J        J-K 
  14.740      0.878 
  13.652      0.885 
  13.706      0.877 
  14.086      0.884 
  14.087      0.869 
  12.277      0.848 
   9.049      0.273 
  12.662      0.893 
  11.181      0.669 
  10.400      0.435 
  11.181      0.669 
  11.924      0.796 
  10.920      0.524 
  11.126      0.626 
  13.952      0.948 
  12.760      0.851 
  12.923      0.890 
   9.364      0.259 
  12.279      0.824 
  12.998      0.882 
  12.170      0.833 
  11.372      0.693 
   9.757      0.312 
  13.929      0.945 
  12.145      0.860 
  12.490      0.863 
  12.378      0.858 
  14.245      0.897 
  13.677      0.851 
  12.874      0.873 
  13.251      0.878 
  13.918      0.817 
  13.394      0.836 
  10.249      0.417 
   8.436      0.157 
  12.476      0.874 
  11.938      0.798 
  14.666      0.907 
  10.763      0.526 
  11.527      0.697 
   9.307      0.313 
  14.427      0.915 
  14.177      0.930 
   9.720      0.315 
  13.881      0.876 
  12.870      0.908 
  13.616      0.921 
  13.136      0.879 
  14.502      0.956 
  13.138      0.861 
  13.466      0.888 
  11.440      0.712 
  13.030      0.865 
  13.425      0.897 
  11.577      0.722 
  11.672      0.725 
  13.249      0.904 
  13.312      0.838 
  11.782      0.873 
  14.451      0.812 
  11.017      0.590 
  14.313      0.833 
  13.054      0.868 
  13.214      0.865 
  13.542      0.832 
  11.592      0.748 
  12.472      0.881 
  12.375      0.839 
  13.789      0.832 
  13.694      0.902 
  12.935      0.892 
  12.294      0.862 
  10.763      0.506 
  12.019      0.820 
  11.003      0.534 
  12.715      0.857 
  12.715      0.857 
  13.270      0.890 
  12.841      0.892 
  12.110      0.821 
  11.114      0.528 
  14.703      0.862 
  11.570      0.744 
   9.657      0.328 
  13.277      0.919 
   9.621      0.338 
   6.266      0.101 
  11.689      0.803 
  12.274      0.854 
  13.178      0.906 
  13.220      0.875 
  12.914      0.893 
  11.426      0.669 
  14.311      0.841 
  10.470      0.432 
  10.666      0.464 
  13.179      0.870 
  11.489      0.722 
  12.643      0.918 
  12.017      0.827 
  13.841      0.889 
  13.402      0.836 
  13.634      0.863 
  14.724      0.873 
  11.250      0.653 
  14.064      0.903 
  14.101      0.842 
  12.616      0.872 
  10.164      0.392 
  11.128      0.638 
  12.465      0.864 
  13.846      0.910 
  13.252      0.836 
  13.173      0.856 
  14.544      0.862 
  13.411      0.859 
  14.632      0.909 
  13.866      0.859 
  14.381      0.841 
  11.301      0.682 
  14.553      0.937 
  14.396      0.921 
   8.444      0.191 
  12.635      0.845 
  13.020      0.864 
  14.500      0.870 
  14.173      0.872 
  14.387      0.827 
  13.780      0.907 
   9.189      0.262 
  14.517      0.873 
  11.515      0.860 
  12.162      0.855 
  13.155      0.837 
  13.803      0.884 
  10.961      0.549 
  13.308      0.918 
  10.766      0.504 
  13.168      0.890 
   9.163      0.285 
  13.410      0.871 
   8.801      0.200 
   7.910      0.075 
  14.237      0.825 
  10.685      0.499 
  14.561      0.888 
   9.555      0.297 
  14.566      0.883 
  14.348      0.849 
   9.591      0.315 
   9.836      0.378 
  11.426      0.695 
  14.067      0.915 
  13.784      0.880 
  14.522      0.886 
   6.106      0.106 
  11.759      0.755 
  12.181      0.834 
  14.083      0.855 
  13.571      0.918 
  13.710      0.859 
   8.656      0.241 
   6.857      0.149 
  12.970      0.893 
  13.493      0.875 
  11.997      0.837 
  13.460      0.870 
  14.869      0.878 
  12.939      0.868 
  12.418      0.874 
  11.546      0.723 
  13.753      0.880 
   8.951      0.230 
  12.581      0.868 
  12.872      0.865 
  12.491      0.858 
  14.101      0.868 
  12.610      0.873 
  13.693      0.903 
  12.396      0.886 
  11.734      0.769 
   7.327      0.052 
  11.562      0.705 
  13.247      0.859 
  14.655      0.953 
  12.254      0.863 
  13.084      0.921 
  13.566      0.841 
   8.909      0.258 
  11.485      0.728 
   4.909      0.728 
  14.210      0.872 
  14.636      0.890 
  12.345      0.839 
   9.565      0.306 
   8.692      0.210 
  11.302      0.614 
  12.784      0.913 
   6.396      0.067 
   7.894      0.108 
   8.083      0.119 
  11.436      0.649 
  13.109      0.855 
   8.346      0.125 
  10.839      0.553 
  13.905      0.891 
  11.744      0.826 
  13.411      0.872 
   7.329      0.099 
  11.134      0.582 
  12.105      0.887 
   7.578      0.044 
  11.649      0.815 
  14.264      0.847 
  10.706      0.537 
  13.437      0.908 
