       J        J-K 
  13.968      1.057 
  11.674      0.561 
  13.353      0.975 
  12.884      0.874 
  12.098      0.853 
  13.077      0.745 
  14.005      0.692 
  14.496      0.821 
  12.042      0.569 
  13.361      0.593 
  13.256      0.781 
  14.317      0.789 
  12.478      0.807 
  10.984      0.612 
  13.011      0.635 
  14.279      0.707 
   9.940      0.596 
  11.867      0.553 
   8.061      0.941 
  11.865      0.577 
  14.093      1.098 
  11.976      0.617 
  14.573      0.923 
  14.272      0.871 
  12.841      0.627 
  12.679      0.597 
  13.497      0.562 
  14.926      0.788 
  13.872      0.934 
  13.772      0.552 
  12.195      0.460 
  12.176      0.856 
  13.144      0.579 
  14.804      1.076 
  12.908      0.557 
  13.990      0.813 
   6.333      1.629 
  13.086      0.489 
  14.067      0.704 
  13.873      0.818 
  10.994      0.572 
  14.350      0.792 
  11.813      0.698 
  14.078      0.936 
  12.566      0.613 
  14.490      0.836 
  14.490      0.836 
  12.176      0.564 
  14.023      0.907 
  13.782      0.573 
  13.722      0.527 
  12.835      0.706 
  13.451      0.673 
  11.969      0.713 
  13.912      0.572 
  13.746      1.017 
  13.151      0.587 
  11.243      0.569 
  11.589      0.591 
  14.075      0.880 
  12.959      0.607 
  13.464      0.717 
  12.362      0.585 
  14.928      0.921 
  13.261      0.588 
  12.319      0.577 
  13.603      0.713 
  13.567      0.777 
  12.673      0.710 
  13.847      0.655 
  13.339      0.556 
  12.575      0.609 
  12.157      0.619 
  12.054      0.647 
  14.253      0.919 
  13.804      0.709 
  14.117      0.734 
  12.932      0.491 
  13.832      0.632 
  13.308      0.869 
  13.197      0.682 
  13.524      0.550 
  14.370      1.009 
  12.788      0.735 
  14.508      0.732 
  12.789      0.632 
  11.582      0.460 
  13.406      1.074 
  10.843      0.456 
  12.790      0.710 
  12.916      0.576 
  13.243      0.566 
  12.091      0.584 
  14.685      0.913 
  13.586      0.657 
  13.199      0.513 
  11.760      0.585 
  13.374      0.632 
  14.036      0.583 
  14.676      0.925 
  13.978      0.666 
  14.022      0.771 
  13.514      0.629 
  13.986      0.888 
  12.282      0.492 
  13.311      0.563 
  14.352      0.809 
  13.388      0.656 
  12.847      0.610 
  14.776      0.778 
  11.531      0.516 
  11.410      0.545 
  12.788      0.735 
  14.530      0.775 
  12.478      0.807 
  13.989      0.816 
  10.723      0.540 
  13.747      0.617 
  12.775      0.658 
  14.418      0.814 
  14.033      0.752 
  12.183      0.533 
  13.253      0.560 
  14.568      0.878 
  13.154      0.626 
  14.651      0.792 
  13.876      0.652 
  12.443      0.600 
  13.240      0.687 
  12.275      0.662 
  13.641      0.795 
  13.702      0.799 
  15.203      0.984 
  13.898      1.076 
  12.852      0.768 
  12.405      0.686 
  14.379      0.678 
  13.358      0.567 
  13.537      0.671 
  14.138      0.876 
  14.178      0.764 
  13.329      0.791 
  13.904      0.830 
  13.538      0.860 
  14.037      0.778 
  14.537      0.646 
  12.365      0.559 
  13.957      0.785 
  14.395      0.785 
  13.903      0.679 
  13.972      0.636 
  14.593      0.885 
  13.674      0.561 
  13.412      0.590 
  13.064      0.743 
  14.498      0.741 
  11.381      0.526 
  11.568      0.627 
  14.156      0.820 
  10.515      0.584 
  12.795      0.950 
  13.711      0.827 
  11.065      0.857 
  14.367      0.611 
  14.191      0.674 
  14.468      0.729 
  14.373      0.668 
  12.574      0.567 
  11.982      0.540 
  13.863      1.077 
  10.388      0.559 
  12.420      0.688 
  13.262      0.668 
  13.347      0.571 
  13.518      0.634 
  12.763      0.642 
  13.145      0.597 
  14.457      1.069 
  11.126      0.576 
  14.560      0.717 
  12.462      0.454 
  13.202      0.609 
  12.345      0.620 
  12.507      0.521 
   9.167      0.627 
   7.202      1.040 
   9.143      0.625 
  14.204      0.779 
  13.387      0.755 
   9.993      0.564 
  11.336      0.570 
  13.803      0.701 
  13.165      0.569 
  11.024      0.532 
  13.660      0.596 
  13.184      1.031 
  10.368      0.680 
  14.175      0.713 
  11.661      0.527 
  14.022      0.630 
  12.694      0.529 
  11.251      0.471 
  14.756      1.066 
  14.111      0.815 
  13.610      0.797 
  12.666      0.549 
  12.781      0.778 
  11.363      0.837 
  14.553      1.039 
  13.702      0.594 
  13.722      1.062 
  14.548      0.728 
  14.702      0.821 
  11.928      0.606 
  11.232      0.482 
  13.383      0.667 
  14.263      0.725 
  13.218      0.654 
  11.975      0.557 
  14.450      0.964 
  14.464      0.867 
  13.534      0.707 
  12.901      0.693 
  13.553      0.601 
  14.732      1.043 
  12.871      0.950 
  15.313      1.063 
  13.794      1.084 
  13.783      0.822 
  11.632      0.597 
  14.052      0.646 
  14.765      0.990 
  12.492      0.580 
  13.379      0.768 
  13.880      0.608 
  12.365      0.559 
  13.704      0.644 
  14.041      0.881 
  12.069      0.644 
  14.047      0.647 
  13.065      0.736 
  11.665      0.518 
   7.716      1.035 
  13.655      0.669 
  14.618      0.746 
  14.028      0.921 
  14.436      1.006 
  13.685      0.699 
  11.697      0.544 
  11.627      0.536 
  12.676      0.571 
  14.624      0.722 
  13.047      0.583 
  11.516      0.586 
  11.400      0.708 
  13.043      0.590 
  13.559      0.808 
  12.182      0.645 
  13.541      0.942 
  13.768      0.633 
  12.546      0.536 
  13.836      0.773 
  11.824      0.643 
  15.252      0.962 
   8.663      0.870 
  12.383      0.525 
  13.862      0.735 
  14.248      0.607 
  13.156      0.611 
  13.691      0.676 
  12.756      0.628 
  14.291      0.737 
  12.319      0.584 
   7.294      1.527 
  11.213      0.593 
  14.462      0.765 
  14.133      0.698 
  13.302      0.828 
  12.998      0.699 
  14.412      0.904 
  13.639      0.655 
  13.967      0.632 
  13.302      0.699 
  11.965      0.630 
  12.769      0.511 
  14.208      0.679 
  14.272      0.871 
  13.682      1.035 
  11.880      0.756 
  14.252      0.700 
  14.438      0.664 
  11.210      0.560 
  11.181      0.669 
  12.754      0.568 
  13.816      0.698 
  12.247      0.605 
  14.144      0.678 
  12.955      0.673 
  13.536      0.619 
  12.882      0.528 
  13.326      0.937 
  12.786      0.648 
  13.737      0.695 
  13.379      0.636 
  13.316      0.691 
