       G      Bp-Rp 
  14.930      0.876 
  16.128      0.940 
  14.484      0.894 
  17.409      1.202 
  14.763      0.899 
  16.182      0.984 
  15.725      0.902 
  15.547      0.869 
  16.533      1.018 
  15.336      0.902 
  15.714      0.914 
  17.740      1.352 
  15.151      0.916 
  15.424      0.874 
  14.837      0.907 
  16.330      0.929 
  12.634      1.340 
  15.936      0.916 
  15.148      0.876 
  15.146      0.877 
  16.868      1.086 
  15.242      0.844 
  14.791      0.902 
  14.865      0.899 
  16.237      0.967 
  16.227      0.946 
  14.799      0.887 
  15.047      0.856 
  15.524      0.773 
  16.796      1.065 
  14.910      0.875 
  17.748      1.296 
  17.660      1.271 
  16.269      0.975 
  15.474      0.860 
  16.693      1.095 
  14.893      0.873 
  15.246      0.881 
  16.040      0.923 
  15.014      0.888 
  17.484      1.265 
  15.673      0.890 
  15.363      0.889 
  16.455      0.987 
  15.988      0.931 
  16.953      1.134 
  15.372      0.862 
  15.028      1.219 
  15.115      0.883 
  14.774      0.922 
  16.090      0.952 
  16.156      0.965 
  15.246      0.864 
  16.499      0.977 
  14.394      1.219 
  17.274      1.212 
  14.941      0.861 
  16.885      1.079 
  17.987      1.372 
  14.102      1.239 
  14.127      1.239 
  17.520      1.277 
  14.741      0.936 
  14.640      1.244 
  16.758      1.050 
  16.899      1.083 
  15.083      0.880 
  16.467      0.998 
  16.134      0.954 
  15.565      0.898 
  16.243      0.958 
  15.045      0.852 
  14.754      0.970 
  15.503      0.871 
  16.238      0.966 
  16.798      1.079 
  14.928      0.882 
  15.451      0.909 
  15.644      0.919 
  17.513      1.239 
  14.801      1.014 
  17.010      1.143 
  15.568      0.887 
  12.058      1.466 
  17.288      1.229 
  17.881      1.378 
  17.039      1.117 
  14.870      0.905 
  16.806      1.064 
  15.446      0.867 
  15.911      0.892 
  15.137      0.885 
  16.625      1.023 
  15.929      0.926 
  17.560      1.204 
  16.794      1.063 
  13.394      1.159 
  16.280      0.995 
  17.334      1.218 
  16.380      0.975 
  15.394      0.866 
  15.936      0.930 
  17.708      1.313 
  16.082      0.921 
  15.674      0.900 
  16.680      1.059 
  17.531      1.237 
  15.194      0.874 
  16.103      0.968 
  15.638      0.909 
  14.840      1.059 
  14.194      1.235 
  15.584      0.886 
  14.982      0.855 
  14.866      0.880 
  17.063      1.138 
  14.044      1.182 
  16.407      0.963 
  14.872      0.882 
  14.895      0.882 
  16.368      0.991 
  17.479      1.231 
  16.081      0.960 
  15.096      0.854 
  17.643      1.294 
  15.406      0.878 
  15.142      0.908 
  16.937      1.087 
  16.772      1.065 
  15.121      0.875 
  13.595      1.272 
  15.097      0.876 
  17.005      1.117 
  14.895      0.888 
  17.109      1.173 
  17.642      1.280 
  16.297      0.982 
  15.852      0.891 
  14.757      0.933 
  15.668      0.879 
  14.754      0.960 
  14.852      1.062 
  14.893      1.150 
  14.816      0.900 
  15.742      0.876 
  17.257      1.145 
  16.146      0.967 
  15.380      0.871 
  16.612      1.013 
  15.946      0.917 
  16.382      0.984 
  14.683      1.204 
  12.662      1.383 
  15.554      0.899 
  15.683      0.871 
  14.706      1.243 
  15.436      0.878 
  15.420      0.957 
  16.070      0.980 
  15.896      0.932 
  14.759      0.973 
  17.333      1.214 
  17.685      1.324 
  15.071      0.872 
  17.226      1.201 
  14.914      0.905 
  17.550      1.329 
  14.754      0.910 
  15.621      0.884 
  12.088      1.334 
  15.412      0.854 
  14.863      0.924 
  15.211      0.877 
  15.985      0.920 
  17.157      1.167 
  16.462      0.994 
  16.008      0.929 
  12.123      1.359 
  17.362      1.183 
  17.319      1.235 
  15.105      0.854 
  15.016      0.861 
  17.647      1.307 
  15.342      0.879 
  17.450      1.223 
  17.736      1.311 
  15.701      0.887 
  15.630      0.886 
  16.676      1.045 
  16.145      0.946 
  14.922      1.177 
  16.134      0.936 
  17.117      1.144 
  16.062      0.938 
  16.869      1.076 
  17.481      1.255 
  14.926      1.105 
  17.602      1.229 
  16.206      0.975 
  15.780      0.911 
  15.078      0.876 
  15.464      0.899 
  16.854      1.121 
  16.584      1.032 
  15.303      0.849 
  15.839      0.887 
  15.102      0.853 
  17.015      1.121 
  17.200      1.178 
  16.180      0.947 
  14.911      0.865 
  15.645      0.877 
  15.040      0.863 
  17.608      1.287 
  16.642      1.060 
  15.188      0.887 
  17.052      1.121 
  17.850      1.370 
  15.296      0.872 
  16.254      0.978 
  17.701      1.308 
  17.329      1.197 
  15.902      0.898 
  14.658      0.864 
  14.792      0.896 
  14.728      0.939 
  16.666      1.059 
  17.153      1.197 
  17.853      1.388 
  14.750      0.976 
  15.536      0.895 
  13.664      1.232 
  17.064      1.146 
  15.811      0.903 
  17.323      1.190 
  15.707      0.918 
  14.764      0.976 
  14.658      1.155 
  15.823      0.920 
  15.396      0.892 
  16.394      0.955 
  17.184      1.166 
  15.964      0.921 
  17.160      1.206 
  15.447      0.868 
  16.769      1.076 
  16.221      0.960 
  17.946      1.364 
  16.465      1.039 
  17.726      1.308 
  14.737      0.866 
  16.429      0.984 
  16.312      0.994 
  16.138      0.953 
  17.418      1.216 
  16.785      1.108 
  16.774      1.106 
  15.310      0.867 
  15.753      0.889 
  15.554      0.879 
  15.973      0.930 
  16.189      0.955 
  17.513      1.245 
  15.749      0.893 
  17.503      1.300 
  15.411      0.885 
  16.142      0.936 
  14.746      1.014 
  16.661      1.073 
  15.332      0.872 
  17.889      1.341 
  15.888      0.913 
  16.084      0.932 
  12.000      1.353 
  14.800      0.912 
  12.574      1.380 
  16.361      1.019 
  16.938      1.135 
  13.779      1.180 
  14.841      1.106 
  15.626      0.896 
  15.578      0.898 
  14.757      0.907 
  14.388      1.383 
  17.046      1.110 
  17.832      1.342 
  17.102      1.158 
  15.305      0.858 
  17.483      1.251 
  15.630      0.856 
  14.886      1.153 
  11.932      1.460 
  17.372      1.204 
  13.815      1.374 
  14.975      0.859 
  16.228      0.945 
  16.749      1.053 
  16.647      1.029 
  14.710      0.886 
  11.762      1.470 
  15.041      0.944 
  17.399      1.207 
  16.576      1.069 
  17.619      1.187 
  16.644      1.016 
  16.883      1.098 
  14.909      1.130 
  12.255      1.424 
  15.177      0.853 
  15.238      0.869 
  15.934      0.899 
  11.665      1.326 
  17.488      1.252 
  17.005      1.142 
  17.823      1.327 
  14.819      0.873 
  15.360      0.874 
  16.514      0.984 
  17.605      1.290 
  16.831      1.075 
  15.773      0.916 
  16.735      1.088 
  15.139      0.899 
  15.266      0.888 
  17.179      1.171 
  17.360      1.200 
  17.734      1.323 
  15.026      0.909 
  16.120      0.954 
  14.796      0.986 
  17.025      1.101 
  15.379      0.868 
  15.298      0.916 
  17.995      1.406 
  16.388      1.000 
  15.129      0.928 
  17.090      1.145 
  15.572      0.894 
  14.280      1.238 
  15.268      0.857 
  16.552      1.016 
  17.319      1.186 
  16.330      0.989 
  16.430      0.987 
  14.923      0.872 
  17.226      1.202 
  17.897      1.364 
  16.587      1.070 
  16.541      1.063 
  15.406      0.847 
  15.430      0.874 
  15.855      0.919 
  16.804      1.066 
  17.953      1.432 
  15.938      0.919 
  12.120      1.344 
  16.785      1.055 
  17.437      1.214 
  15.357      0.848 
  17.275      1.222 
  17.807      1.340 
  16.203      0.965 
  16.853      1.094 
  15.001      0.960 
  16.545      1.045 
  14.923      1.110 
  15.686      0.906 
  14.789      0.938 
  17.944      1.298 
  14.613      0.901 
  15.498      0.869 
  16.240      0.995 
  14.959      0.854 
  15.200      0.872 
  17.404      1.181 
  17.928      1.432 
  15.381      0.862 
  16.280      1.004 
  16.804      1.071 
  16.144      0.964 
  15.791      0.911 
  15.138      0.881 
  17.571      1.300 
  17.192      1.169 
  14.607      0.866 
  16.890      1.076 
  14.951      0.864 
  16.434      0.984 
  15.992      0.940 
  17.662      1.305 
  17.473      1.238 
  14.700      1.206 
  17.040      1.108 
  16.784      1.081 
  12.384      1.428 
  17.870      1.353 
  14.539      1.201 
  17.721      1.325 
  17.338      1.205 
  15.175      0.872 
  13.080      1.349 
  15.171      0.863 
  16.362      0.982 
  14.784      0.934 
  14.854      1.180 
  16.262      0.979 
  16.064      0.952 
  16.195      0.960 
  14.939      1.218 
  17.972      1.455 
  15.326      0.873 
  16.149      0.990 
  15.493      0.899 
  16.863      1.087 
  15.258      0.889 
  15.150      0.934 
  16.998      1.106 
  17.246      1.172 
  15.199      0.915 
  14.202      1.219 
  14.914      0.898 
  17.373      1.233 
  15.633      0.836 
  16.138      0.933 
  17.794      1.337 
  16.968      1.086 
  14.682      0.923 
  14.956      0.924 
  15.321      0.930 
  15.283      0.933 
  17.879      1.390 
  17.569      1.280 
  15.222      0.872 
  15.398      0.894 
  16.973      1.134 
  12.480      1.333 
  17.246      1.202 
  15.599      0.885 
  17.502      1.269 
  15.198      0.868 
  13.816      1.250 
  16.578      1.032 
  14.874      0.892 
  16.507      1.022 
  14.855      0.872 
  15.535      0.888 
  14.830      1.020 
  17.707      1.248 
  14.901      1.098 
  17.534      1.251 
  14.778      0.904 
  14.783      0.979 
  17.256      1.204 
  16.496      0.996 
  14.954      0.861 
  16.045      0.952 
  15.885      0.912 
  16.757      1.067 
  16.322      0.958 
  14.733      0.931 
  16.012      0.918 
  15.976      0.925 
  15.682      0.871 
  15.795      0.894 
  14.752      0.977 
  13.061      1.344 
  14.888      0.901 
  15.577      0.845 
  14.922      0.903 
  15.727      0.893 
  14.702      0.912 
  14.781      1.194 
  15.443      0.880 
  14.323      1.235 
  17.477      1.232 
  15.294      0.870 
  16.630      1.042 
  15.746      0.903 
  15.062      0.868 
  14.776      0.898 
  17.299      1.248 
  17.808      1.461 
  15.509      0.874 
  15.889      0.753 
  17.088      1.158 
  15.976      0.947 
  15.268      0.907 
  17.680      1.308 
  16.337      0.980 
  15.138      0.875 
  15.551      0.883 
  17.740      1.278 
  16.107      0.957 
  16.613      1.036 
  15.987      0.930 
  15.375      0.886 
  14.914      0.886 
  15.468      0.878 
  15.974      0.918 
  17.144      1.146 
  16.713      1.040 
  13.360      1.307 
  13.356      1.294 
  15.957      0.959 
  13.782      1.260 
  17.649      1.370 
  14.544      1.218 
  17.016      1.105 
  17.627      1.278 
  15.645      0.897 
  14.804      0.898 
  15.818      0.902 
  15.826      0.926 
  15.957      0.923 
  15.333      0.873 
  15.352      0.890 
  17.748      1.310 
  17.673      1.292 
  16.554      1.033 
  14.769      0.927 
  14.933      0.899 
  15.738      0.911 
  16.194      0.957 
  14.922      0.875 
  16.082      0.939 
  14.807      0.994 
  15.510      0.891 
  15.661      0.870 
  16.434      1.006 
  15.731      0.907 
  17.691      1.340 
  15.847      0.927 
  17.650      1.270 
  15.719      0.841 
  16.038      0.933 
  17.101      1.181 
  14.794      0.929 
  14.823      0.894 
  15.494      0.870 
  11.133      1.505 
  16.284      0.989 
  15.934      0.905 
  15.768      0.910 
  15.168      0.881 
  16.015      0.926 
  15.011      0.857 
  14.555      1.247 
  17.088      1.137 
  17.288      1.200 
  16.840      1.094 
  14.885      1.217 
  17.312      1.237 
  15.108      0.904 
  17.105      1.123 
  15.943      0.937 
  14.970      0.991 
  15.602      0.882 
  10.790      1.760 
  15.902      0.909 
  15.190      0.914 
  15.314      0.889 
  15.079      0.903 
  16.215      0.952 
  17.579      1.282 
  12.057      1.339 
  15.918      0.918 
  16.511      0.990 
  15.068      0.871 
  14.980      0.861 
  16.142      0.935 
  14.821      0.911 
  16.507      1.003 
  14.696      1.228 
  15.115      0.850 
  15.835      0.906 
  15.955      0.924 
  14.224      1.195 
  12.246      1.441 
