       G      Bp-Rp 
  15.049      0.874 
  15.308      0.891 
  15.369      0.847 
  17.852      1.324 
  10.051      2.186 
  15.641      0.912 
  17.321      0.991 
  14.970      0.880 
  16.298      0.988 
  17.270      1.185 
  16.600      1.029 
  16.799      1.114 
  17.029      1.136 
  15.551      0.902 
  17.591      1.249 
  17.279      1.177 
  14.943      1.165 
  15.831      0.889 
  15.649      0.894 
  14.839      0.910 
  14.795      0.911 
  16.913      1.095 
  17.528      1.282 
  16.270      0.992 
  15.355      0.896 
  17.835      1.406 
  14.879      1.078 
  12.344      1.385 
  15.815      0.880 
  16.046      0.925 
  15.847      0.842 
  16.735      1.048 
  17.055      1.122 
  15.713      0.884 
  16.741      1.087 
  14.878      1.066 
  17.346      1.171 
  17.395      1.225 
  13.186      1.318 
  12.151      1.360 
  16.583      1.076 
  13.974      1.276 
  17.857      1.389 
  16.408      1.033 
  14.850      0.904 
  17.397      1.233 
  17.601      1.302 
  15.337      0.898 
  16.718      1.070 
  17.156      1.179 
  15.933      0.934 
  15.838      0.926 
  17.553      1.322 
  15.337      0.899 
  16.900      1.109 
  16.439      0.994 
  11.075      1.796 
  15.229      0.880 
  15.274      0.903 
  14.818      1.019 
  15.219      0.900 
  17.008      1.146 
  15.896      0.942 
  16.350      0.983 
  17.309      1.195 
  16.938      1.104 
  16.394      0.997 
  17.760      1.368 
  15.876      0.908 
  17.856      1.339 
  14.373      1.249 
  17.154      1.155 
  15.629      0.916 
  16.150      0.992 
  15.047      0.902 
  15.417      0.896 
  16.808      1.089 
  16.311      1.010 
  15.978      0.960 
  16.552      1.028 
  15.430      0.979 
  16.874      1.113 
  17.255      1.228 
  12.328      1.501 
  16.403      1.018 
  16.078      0.980 
  15.174      0.892 
  17.451      1.222 
  16.250      0.951 
  16.664      1.039 
  17.269      1.183 
  17.044      1.169 
  15.374      0.900 
  15.158      0.969 
  16.182      0.986 
  17.301      1.226 
  14.007      1.339 
  16.412      1.024 
  12.153      1.400 
  16.466      0.998 
  11.849      1.216 
  14.812      1.005 
  16.102      0.984 
  15.238      1.060 
  15.411      1.028 
  16.770      1.114 
  16.654      1.045 
  16.972      1.082 
  15.852      0.885 
  16.589      1.040 
  16.755      1.041 
  15.196      0.877 
  16.399      0.964 
  16.416      1.044 
  17.620      1.303 
  14.851      0.904 
  14.964      0.891 
  14.822      0.924 
  15.378      0.875 
  14.890      0.904 
  16.124      0.985 
  14.880      1.176 
  14.770      1.148 
  15.686      0.875 
  14.688      0.930 
  15.720      0.916 
  15.645      0.885 
