       G      Bp-Rp 
  15.540      1.846 
  17.817      2.313 
  16.707      2.214 
  17.971      2.393 
  16.974      2.025 
  13.832      1.764 
  15.419      1.953 
  16.225      2.161 
  15.348      1.974 
  14.548      1.867 
  15.575      2.044 
  17.085      2.162 
  16.524      2.027 
  17.126      2.170 
  17.994      2.317 
  14.209      1.754 
  17.187      2.126 
  16.945      2.028 
  17.185      2.063 
  15.804      1.957 
  16.901      2.012 
  14.917      1.940 
  13.295      1.920 
  16.400      1.965 
  15.412      1.903 
  17.792      2.307 
  16.959      1.995 
  16.925      2.104 
  17.015      2.082 
  16.572      2.091 
  12.113      1.800 
  14.199      1.880 
  11.006      2.478 
  16.938      2.046 
  16.837      2.129 
  14.129      1.817 
  16.608      2.203 
  16.857      2.199 
  17.254      2.171 
  17.425      2.279 
  14.254      1.890 
  16.289      2.139 
  17.764      2.449 
  17.407      2.195 
  17.838      2.363 
  15.198      1.916 
  15.026      1.916 
  17.005      2.141 
  15.881      1.950 
  17.863      2.384 
  17.941      2.353 
  16.743      2.031 
  17.870      2.254 
  16.703      2.072 
  16.594      2.207 
  16.941      2.132 
  14.275      1.610 
  14.416      1.780 
  15.510      1.926 
  17.435      2.138 
  16.771      2.126 
  15.467      1.821 
  15.474      1.948 
  16.016      2.010 
  16.688      2.183 
  10.120      3.324 
  16.990      2.148 
  15.420      1.858 
  15.541      1.945 
  16.827      2.124 
  16.814      2.264 
  13.195      1.751 
  16.188      1.928 
  17.686      2.335 
  14.915      1.794 
  15.902      1.860 
  17.102      2.242 
  14.058      1.853 
  16.759      2.180 
  14.829      1.817 
  16.655      1.998 
  17.222      2.107 
  14.468      1.831 
  17.488      2.315 
  17.540      2.178 
  17.589      2.306 
  16.538      1.979 
  17.499      2.154 
  17.463      2.198 
  16.651      2.204 
  16.552      2.129 
  16.180      1.931 
  16.117      1.982 
  15.359      1.990 
  15.902      1.912 
  14.294      1.991 
  14.249      1.900 
  16.379      2.027 
  16.274      1.950 
  15.496      1.788 
  13.374      1.686 
  13.846      1.861 
  16.714      2.144 
  17.415      2.366 
  15.051      1.633 
  16.044      2.150 
  14.561      1.772 
  16.673      2.000 
  17.816      2.354 
  15.716      2.039 
  14.594      1.837 
  17.388      2.227 
  16.073      2.011 
  16.627      1.976 
  17.290      2.042 
  15.059      1.964 
  16.171      1.953 
  16.430      1.973 
  16.823      1.986 
  15.672      1.875 
  14.789      1.784 
  14.362      1.813 
  17.832      2.300 
  14.377      1.864 
  16.982      2.134 
  16.284      2.013 
  16.757      2.082 
  17.181      2.137 
  15.190      1.797 
  16.199      1.878 
  15.717      1.902 
  17.192      2.264 
  16.728      1.999 
  15.808      1.995 
  15.734      1.748 
  17.178      2.194 
  15.388      1.996 
  17.093      2.153 
  15.147      1.844 
  17.257      2.122 
  13.842      1.781 
  17.156      2.040 
  16.815      2.084 
  12.822      1.572 
  16.482      2.020 
  15.060      1.804 
  15.760      1.851 
  15.288      1.893 
  15.618      1.896 
  14.389      1.853 
  16.229      1.885 
  16.645      2.142 
  16.780      2.035 
  17.548      2.203 
  15.886      1.848 
  15.487      1.846 
  13.952      1.734 
  15.690      1.845 
  16.716      2.053 
  16.518      2.039 
  17.560      2.418 
  16.477      1.920 
  16.246      1.803 
  16.807      2.295 
  17.413      2.227 
  15.981      2.034 
  17.076      2.062 
  17.835      2.354 
  17.073      2.285 
  14.639      1.864 
  16.561      2.004 
  14.497      1.793 
  15.650      1.786 
  16.864      2.172 
  17.131      2.231 
  15.712      1.910 
  15.286      2.004 
  17.445      2.238 
  13.693      1.735 
  17.293      2.305 
  13.646      1.798 
  15.574      1.991 
  17.057      2.045 
  16.768      2.046 
  17.518      2.297 
  15.750      1.976 
  17.574      2.218 
  16.682      1.979 
  17.922      2.214 
  17.481      2.403 
  16.493      2.046 
  17.680      2.326 
  17.290      2.186 
  12.872      1.739 
  16.128      1.914 
  17.628      2.312 
  14.833      1.741 
  16.085      1.916 
  16.899      2.088 
  16.563      2.128 
  17.271      2.064 
  14.378      1.751 
  16.266      1.874 
  15.522      1.806 
  17.840      2.373 
  16.840      2.079 
  17.317      2.174 
  15.501      1.949 
  17.197      2.136 
  16.252      1.936 
  17.309      2.146 
  17.985      2.306 
  17.921      2.165 
  14.789      1.852 
  15.729      2.007 
  14.614      1.917 
  16.210      2.087 
  16.174      1.960 
  17.793      2.209 
  16.392      1.946 
  15.367      2.054 
  14.719      1.842 
  17.005      2.119 
  15.572      1.787 
  17.770      2.318 
  17.487      2.141 
  15.556      1.963 
  17.006      2.078 
  15.986      1.925 
  16.798      2.119 
  16.939      2.050 
  16.858      2.162 
  15.727      1.872 
  16.441      1.962 
  17.448      2.228 
  16.650      2.057 
  16.972      1.971 
  17.124      1.993 
  14.716      1.842 
  16.840      2.027 
  17.206      2.305 
  16.830      1.930 
  16.533      2.043 
  16.513      2.025 
  17.158      2.080 
  15.957      1.855 
  15.694      1.788 
  16.006      1.965 
  17.557      2.315 
  15.424      1.942 
  17.067      2.092 
  16.757      1.985 
  17.423      2.062 
  13.545      1.731 
  16.954      2.069 
  17.534      2.139 
  17.317      2.178 
  16.960      2.102 
  13.876      1.860 
  17.309      2.156 
  16.799      2.053 
  12.842      1.862 
  15.271      1.976 
  16.374      2.154 
  16.907      1.984 
  13.649      2.093 
  17.153      2.207 
  16.984      2.109 
  17.019      2.079 
  17.859      2.325 
  16.818      2.161 
  16.552      1.965 
  17.182      2.210 
  17.661      2.218 
  14.930      1.951 
  14.002      1.644 
  15.960      1.946 
  16.708      1.991 
  12.507      1.703 
  14.053      1.803 
  14.661      1.774 
  15.716      2.007 
  15.504      1.865 
  15.825      2.022 
  15.806      1.836 
  15.023      1.802 
  15.499      1.926 
  17.883      2.245 
  17.490      2.153 
  17.002      2.042 
  13.544      1.968 
  16.274      1.829 
  17.121      2.112 
  14.935      1.883 
  15.468      1.816 
  17.657      2.334 
  14.816      1.840 
  16.463      1.874 
  11.549      1.972 
  10.311      2.678 
  11.502      1.928 
  16.890      2.156 
  15.981      2.022 
  12.324      1.897 
  13.663      1.862 
  16.282      2.017 
  15.446      1.867 
  13.235      1.789 
  16.062      1.955 
  15.881      1.815 
  12.757      1.951 
  17.970      2.312 
  16.968      2.205 
  16.722      2.154 
  13.914      1.830 
  16.485      2.061 
  14.900      1.777 
  16.835      2.119 
  13.457      1.791 
  17.965      2.196 
  17.726      2.352 
  16.723      2.145 
  16.741      2.028 
  14.946      1.838 
  14.985      1.705 
  13.683      1.869 
  17.544      2.346 
  16.283      2.071 
  17.685      2.343 
  17.847      2.382 
  17.958      2.301 
  16.056      1.798 
  17.163      2.107 
  17.300      2.175 
  14.360      1.980 
  13.313      1.667 
  15.647      1.808 
  16.832      2.052 
  15.518      1.864 
  14.096      1.699 
  17.595      2.173 
  16.885      1.973 
  17.995      2.297 
  17.223      2.162 
  15.992      1.946 
  15.252      1.915 
  15.735      1.737 
  17.446      2.193 
  15.089      1.735 
  17.998      2.122 
  16.552      2.206 
  16.371      2.005 
  17.489      2.222 
  13.984      1.908 
  16.898      2.024 
  16.500      1.938 
  17.451      2.227 
  17.606      2.164 
  14.592      1.690 
  16.056      2.089 
  17.889      2.429 
  16.856      1.816 
  16.247      2.024 
  17.383      2.175 
  16.530      2.030 
  15.381      1.823 
  14.334      1.917 
  16.496      1.940 
  15.467      1.919 
  17.279      2.196 
  13.815      1.743 
  10.503      2.431 
  16.223      2.010 
  17.826      2.283 
  17.293      2.194 
  17.046      2.088 
  17.608      2.279 
  16.412      2.186 
  13.861      1.742 
  13.847      1.800 
  14.829      1.706 
  16.663      2.164 
  17.399      2.323 
  15.289      1.791 
  15.947      1.880 
  13.600      1.762 
  15.346      1.855 
  16.150      2.142 
  15.974      1.859 
  17.699      2.256 
  16.240      1.985 
  14.646      1.658 
  16.284      1.914 
  14.056      1.790 
  17.354      2.118 
  10.968      1.933 
  17.996      2.356 
  17.337      2.257 
  14.514      1.822 
  14.652      1.813 
  16.342      1.971 
  16.837      2.105 
  15.465      1.888 
  16.185      2.010 
  15.649      1.977 
  15.036      1.869 
  16.844      2.088 
  16.927      2.067 
  14.596      1.838 
  10.924      3.062 
  13.568      1.944 
  17.245      2.126 
  16.699      2.067 
  16.838      1.914 
  16.772      2.163 
  15.808      1.932 
  15.374      1.879 
  17.621      2.425 
  15.128      2.010 
  15.984      1.875 
  16.494      1.983 
  15.880      2.028 
  14.295      1.878 
  14.986      1.762 
  17.166      2.202 
  16.789      2.044 
  15.161      1.889 
  17.652      2.077 
  16.362      1.791 
  16.755      1.922 
  17.449      2.394 
  16.285      2.120 
  14.253      1.865 
  16.561      1.903 
  16.946      2.184 
  16.932      2.138 
  17.082      2.166 
  13.390      1.812 
  16.540      2.001 
  13.579      1.963 
  17.274      2.244 
  15.148      1.940 
  17.266      2.126 
  16.204      1.921 
  17.294      2.031 
  17.688      2.207 
  15.759      2.027 
  16.940      2.039 
  14.418      1.750 
  16.954      2.268 
  15.447      2.029 
  17.583      2.120 
  15.795      1.839 
  15.058      1.718 
  15.634      1.856 
  15.863      2.016 
  15.962      2.154 
  17.537      2.189 
  16.879      2.033 
  17.220      2.068 
  17.728      2.382 
