       J        J-K 
  13.279      0.314 
  11.907      0.098 
  14.932      0.922 
  14.466      0.667 
  14.836      0.979 
  14.820      0.649 
  13.506      0.449 
  14.881      0.883 
  15.128      0.905 
  14.494      0.776 
  14.340      0.521 
  13.468      0.362 
  14.065      0.606 
  12.447      0.174 
  15.217      1.004 
  13.904      0.604 
  12.500      0.245 
  15.243      0.965 
  11.878      0.096 
  15.025      0.833 
  12.717      0.250 
  12.073      0.091 
  14.583      0.855 
  14.140      0.491 
  14.912      0.622 
   9.035     -0.053 
  15.203      0.925 
  12.739      0.224 
  14.468      0.746 
  15.082      0.921 
  14.686      0.656 
  13.780      0.484 
  12.574      0.192 
  15.010      0.875 
  14.889      0.880 
  12.605      0.168 
  14.157      0.622 
  14.560      0.696 
  12.473      0.179 
  13.667      0.346 
  12.189      0.169 
  15.353      0.827 
  12.247      0.144 
  10.161     -0.025 
  14.872      0.745 
  14.674      0.839 
  12.811      0.321 
  10.398      0.019 
  14.243      0.597 
  13.646      0.379 
  15.183      0.782 
  13.502      0.364 
  14.075      0.665 
  11.587      0.024 
  13.440      0.413 
  11.937      0.103 
  11.063      0.013 
  12.622      0.182 
  11.650      0.103 
  11.753      0.064 
  13.966      0.632 
  15.210      0.837 
  10.894      0.035 
  13.532      0.358 
  14.717      0.813 
  14.758      0.680 
  13.017      0.363 
  15.079      0.870 
  15.473      0.912 
  15.264      0.817 
  13.426      0.385 
  13.693      0.426 
  12.628      0.225 
  12.933      0.288 
  13.899      0.531 
  12.416      0.131 
  13.853      0.474 
  13.397      0.367 
  11.033      0.028 
  13.955      0.638 
  13.841      0.497 
  14.714      0.766 
  12.522      0.136 
  15.246      0.988 
  14.671      0.653 
  15.471      1.007 
  12.581      0.164 
  14.666      0.903 
  14.657      0.803 
  13.823      0.432 
  12.707      0.199 
  15.085      0.804 
  14.068      0.695 
  15.308      0.951 
  15.485      0.813 
  12.576      0.195 
  15.181      0.755 
   9.874     -0.016 
  14.953      0.765 
  13.759      0.507 
  15.040      0.899 
  12.925      0.323 
  13.310      0.277 
  14.425      0.760 
  14.868      0.956 
  14.968      0.769 
  14.572      0.835 
  13.287      0.462 
  14.071      0.562 
  12.374      0.209 
  13.417      0.306 
  13.513      0.372 
  12.842      0.284 
  13.430      0.357 
  13.412      0.453 
  11.804      0.089 
  12.934      0.287 
  14.629      1.001 
  12.492      0.155 
  14.194      0.637 
  10.429      0.002 
  10.386      0.010 
  12.816      0.296 
  14.092      0.636 
  12.273      0.166 
  13.547      0.413 
  13.737      0.433 
  11.747      0.084 
   9.241     -0.035 
  12.589      0.161 
  10.509     -0.009 
   8.886     -0.047 
  12.817      0.277 
  11.701      0.071 
  12.580      0.150 
  14.516      0.814 
  14.731      0.718 
  12.770      0.239 
  13.170      0.345 
  13.622      0.505 
  14.387      0.590 
  10.399     -0.004 
  13.141      0.341 
  10.386      0.001 
  11.815      0.130 
   9.049     -0.035 
  13.436      0.490 
  12.764      0.204 
  13.479      0.406 
  12.934      0.320 
  11.658      0.095 
  13.571      0.429 
  12.747      0.190 
  11.150      0.020 
  12.968      0.279 
  13.454      0.446 
  13.214      0.375 
   9.628     -0.016 
  13.600      0.392 
  13.855      0.462 
  14.787      0.889 
  11.174      0.061 
  13.600      0.430 
  13.537      0.410 
  12.927      0.299 
  13.020      0.277 
  15.136      0.985 
  12.106      0.159 
  14.842      0.895 
  12.775      0.238 
  14.273      0.651 
  13.390      0.377 
  13.114      0.350 
  13.031      0.273 
   8.864     -0.054 
  15.156      1.002 
  12.438      0.158 
  14.482      0.708 
  12.925      0.278 
  14.517      0.769 
  13.012      0.277 
  13.250      0.372 
  11.352      0.064 
  14.502      0.762 
  11.996      0.107 
  14.663      0.850 
  12.902      0.247 
  12.153      0.111 
  11.863      0.090 
  11.462      0.084 
  12.738      0.212 
  11.944      0.119 
  13.684      0.426 
  15.520      0.924 
  13.465      0.287 
  12.986      0.272 
  13.381      0.308 
  13.485      0.425 
  13.980      0.583 
  14.362      0.773 
  14.995      0.884 
  13.020      0.303 
  15.194      1.005 
  12.491      0.174 
  14.594      0.568 
  14.572      0.825 
  13.422      0.323 
  13.715      0.447 
  14.067      0.634 
   9.693     -0.017 
  14.253      0.745 
  14.405      0.676 
  13.029      0.317 
  15.327      0.852 
  15.071      0.872 
  14.018      0.405 
  13.826      0.448 
  14.510      0.690 
  12.862      0.203 
  15.276      1.004 
  13.458      0.501 
  14.554      0.752 
  14.997      0.812 
  14.556      0.865 
