       G      Bp-Rp 
  16.174      1.929 
  15.705      1.691 
  13.316      1.026 
  14.171      1.206 
  10.765      0.412 
  15.617      1.696 
  16.797      2.163 
  15.526      1.617 
  12.635      0.886 
  16.582      2.036 
  12.710      0.923 
  17.292      2.358 
  12.876      0.928 
  17.774      2.526 
  14.566      1.312 
  16.322      1.912 
  13.254      0.962 
  15.851      1.809 
  17.232      2.287 
  12.784      0.868 
   8.262     -0.008 
  16.848      2.155 
  13.049      0.912 
  11.247      0.547 
  17.337      2.353 
  13.081      0.923 
  15.486      1.635 
  15.562      1.632 
  16.820      2.093 
  11.557      0.631 
  14.492      1.268 
  13.166      0.937 
  10.755      0.400 
  12.058      0.809 
  17.463      2.406 
  15.305      1.532 
  13.960      1.155 
  12.806      0.870 
  16.929      2.200 
  16.549      1.966 
  12.837      0.887 
  14.121      1.216 
  10.113      0.207 
  13.513      1.012 
  17.325      2.314 
  14.157      1.189 
  16.926      2.195 
  13.564      1.015 
  11.357      0.593 
  13.592      1.033 
  11.862      0.734 
  11.820      0.723 
  14.941      1.410 
  12.546      0.845 
  14.665      1.330 
  15.513      1.605 
  12.318      0.777 
  14.966      1.441 
  15.092      1.439 
  16.018      1.830 
  16.552      2.051 
  11.135      0.546 
  16.398      1.977 
   7.947      0.093 
  14.607      1.328 
  14.836      1.377 
  14.094      1.170 
  13.795      1.110 
  13.619      1.079 
  16.637      2.072 
  10.465      0.327 
  14.762      1.369 
   8.735      0.174 
  15.698      1.697 
  12.849      0.931 
  14.421      1.267 
  16.897      2.127 
  13.909      1.148 
  16.009      1.838 
  14.210      1.191 
  15.591      1.651 
  16.072      1.844 
  16.636      2.101 
  13.209      0.960 
  10.338      0.271 
  15.838      1.753 
  16.901      2.176 
  11.738      0.727 
  16.424      1.985 
  13.684      1.122 
  17.720      2.490 
  17.856      2.727 
  16.512      1.997 
  16.980      2.274 
  16.555      1.992 
  17.630      2.476 
  17.564      2.434 
  16.130      1.863 
  14.934      1.437 
  15.948      1.826 
  11.818      0.738 
  15.985      1.814 
  12.848      0.917 
  15.362      1.604 
  17.952      2.847 
  17.004      2.235 
  16.638      2.080 
  16.188      1.910 
  16.446      2.012 
  10.802      0.494 
  14.593      1.322 
  12.962      0.943 
  12.009      0.784 
  13.074      0.959 
  14.508      1.290 
   8.135      0.095 
  17.653      2.489 
  14.126      1.185 
  14.989      1.448 
  13.852      1.138 
  17.209      2.224 
  13.802      1.095 
  13.917      1.175 
  12.820      0.938 
   9.409      0.153 
  11.082      0.582 
  15.538      1.632 
  17.281      2.282 
  16.881      2.204 
  17.116      2.239 
  11.836      0.724 
  11.078      0.512 
  17.819      2.363 
  15.026      1.438 
  16.342      1.964 
  17.585      2.486 
  17.491      2.408 
  14.128      1.186 
  17.803      2.493 
  14.457      1.299 
  12.046      0.766 
  15.216      1.514 
  15.023      1.449 
  12.901      0.918 
  17.351      2.349 
  14.945      1.406 
  12.975      0.942 
  15.631      1.669 
  17.805      2.350 
  14.249      1.234 
  12.958      0.940 
  13.619      1.104 
  14.530      1.277 
  14.907      1.391 
  15.463      1.661 
  16.775      2.147 
  16.059      1.852 
  16.654      2.040 
  13.363      0.990 
  12.838      0.900 
  11.502      0.668 
  10.846      0.466 
  11.129      0.537 
  16.960      2.186 
  12.017      0.745 
  10.182      0.266 
  11.205      0.552 
  15.904      1.743 
  14.060      1.169 
  17.319      2.348 
  10.902      0.484 
   8.759      0.151 
  14.832      1.412 
  17.310      2.322 
  12.230      0.832 
  11.143      0.548 
  14.934      1.412 
  17.755      2.461 
  14.862      1.394 
  16.666      2.071 
  17.006      2.171 
  14.620      1.308 
  11.872      0.762 
  15.189      1.480 
   9.569      0.335 
  11.203      0.573 
  13.804      1.097 
  16.798      2.099 
  12.816      0.880 
