       G      Bp-Rp 
  16.492      3.067 
  16.748      3.008 
  12.833      1.415 
  17.755      3.420 
  16.103      2.833 
  16.341      2.958 
  16.654      3.118 
  17.351      3.130 
  14.436      2.095 
  15.795      2.787 
  16.172      2.971 
   7.261      0.033 
  16.826      3.070 
  14.997      2.500 
  17.957      3.370 
  16.472      2.967 
  16.828      3.050 
  11.463      1.044 
  15.673      2.646 
  17.792      3.140 
  12.876      1.351 
   7.924      0.166 
   7.122      0.080 
  11.647      1.012 
  12.808      1.342 
  12.305      1.181 
  16.696      3.052 
   9.803      0.685 
  10.989      0.903 
  15.947      2.805 
  16.774      2.947 
  12.595      1.344 
  14.411      2.073 
  14.686      2.248 
   9.886      0.675 
   9.602      0.608 
  15.267      2.473 
  16.414      2.899 
  15.476      2.597 
  15.015      2.355 
  16.974      3.043 
   9.614      0.656 
  17.526      3.335 
  15.666      2.679 
  16.957      3.104 
  13.798      1.923 
   8.905      0.386 
  11.654      1.116 
  15.829      2.755 
  13.040      1.462 
  16.276      2.953 
  17.630      3.442 
  17.463      3.254 
   8.139      0.265 
  10.008      0.702 
  16.363      2.932 
  17.002      2.867 
  10.231      0.756 
  17.799      2.950 
  13.119      1.469 
  17.483      3.194 
  16.598      3.046 
  17.783      3.211 
  16.675      2.987 
  13.880      1.816 
  17.574      3.264 
   9.163      0.580 
  15.088      2.501 
  16.975      3.118 
  16.834      3.001 
  17.944      3.554 
  14.826      2.355 
  17.540      3.282 
  17.340      3.354 
  16.415      2.917 
  13.670      1.654 
  17.460      3.343 
  13.849      1.823 
  12.324      1.173 
  16.304      2.913 
  17.166      3.277 
  10.932      0.948 
  16.491      2.933 
  17.972      3.394 
  16.436      2.979 
  15.865      2.758 
  16.497      3.012 
   9.623      0.673 
  17.717      3.156 
  16.893      3.127 
  12.240      1.268 
  16.504      3.058 
  11.748      1.148 
  15.399      2.620 
  17.376      3.316 
  11.440      1.027 
   9.090      0.464 
  14.926      2.254 
  17.079      3.081 
  14.924      2.372 
  15.908      2.289 
  13.006      1.470 
  15.144      2.405 
  16.964      3.069 
  16.495      3.029 
  17.182      3.144 
  15.289      2.449 
  17.325      3.116 
  14.407      2.088 
  14.024      1.915 
  15.972      2.768 
  16.300      2.825 
  17.380      3.398 
  16.467      2.971 
  17.036      3.181 
  12.738      1.360 
  13.272      1.605 
  16.532      2.888 
  16.315      2.953 
   8.913      0.458 
  15.759      2.677 
  15.742      2.834 
  11.333      1.060 
  14.812      2.305 
  15.086      2.487 
  15.899      2.757 
  15.239      2.540 
  17.483      3.203 
  17.993      3.448 
  12.658      1.276 
  12.237      1.259 
  16.144      2.908 
  14.980      2.398 
  16.701      3.097 
  17.329      3.254 
   9.848      0.704 
  11.810      1.083 
  12.705      1.319 
   4.925     -0.114 
  10.199      0.778 
  16.820      3.024 
  15.551      2.593 
   7.489      0.057 
  16.208      2.851 
  17.226      3.106 
  16.254      2.907 
   9.773      0.670 
  12.580      1.301 
  16.016      2.765 
  17.562      3.141 
  17.436      3.264 
  11.771      1.053 
  13.240      1.519 
  10.424      0.786 
  12.002      1.112 
  17.572      3.198 
  16.476      3.063 
  17.163      3.124 
  15.188      2.431 
   9.647      0.627 
  12.770      1.352 
   9.630      0.658 
  14.066      1.910 
  16.639      3.134 
  16.821      3.002 
  17.833      3.308 
   9.081      0.547 
  12.609      1.312 
  16.820      3.122 
  16.279      2.983 
  11.844      1.152 
  16.645      2.921 
   6.960      0.042 
  17.209      3.223 
  17.605      3.263 
  13.803      1.825 
  15.574      2.701 
  16.159      2.877 
  15.904      2.771 
  14.852      2.283 
  17.051      2.956 
  16.937      3.049 
  17.742      3.413 
  16.312      2.933 
  12.522      1.268 
  12.581      1.274 
  12.568      1.318 
   7.858      0.108 
  16.097      2.791 
  17.231      3.195 
   9.514      0.610 
  12.578      1.269 
  17.070      3.083 
  13.659      1.696 
  17.836      3.254 
  15.390      2.570 
  16.660      3.031 
  15.902      2.796 
  16.086      2.874 
  15.681      2.612 
  16.751      2.963 
  14.635      2.306 
  12.835      1.324 
  17.482      3.046 
  15.690      2.613 
  16.098      2.937 
  16.333      2.974 
   8.136      0.161 
  17.275      3.071 
  16.354      2.818 
  15.661      2.679 
  16.730      2.916 
  11.400      0.983 
  10.146      0.740 
  11.425      1.037 
  17.405      3.113 
   6.059     -0.101 
  17.324      3.038 
  12.672      1.287 
  17.905      3.154 
   8.395      0.254 
  12.364      1.184 
  11.134      0.968 
   8.400      0.211 
  16.999      3.123 
  17.998      3.272 
  17.690      3.257 
  16.718      3.097 
   9.099      0.478 
   5.532     -0.037 
  14.884      2.276 
  16.351      2.830 
  17.959      3.236 
  17.599      3.078 
  13.837      1.809 
  10.536      0.830 
  16.661      2.988 
  17.438      3.132 
   9.114      0.559 
  17.910      3.202 
   8.726      0.348 
   8.570      0.266 
   8.086      0.262 
  16.263      2.895 
  11.475      1.025 
   5.275     -0.090 
   8.915      0.462 
  15.769      2.680 
  15.429      2.613 
  16.235      2.959 
   6.913     -0.011 
  16.754      3.036 
  14.923      2.368 
  15.378      2.542 
  14.895      2.242 
  12.987      1.434 
  17.034      3.165 
  16.681      2.989 
  16.372      3.027 
  16.451      2.958 
  13.827      1.763 
  12.362      1.274 
  11.160      0.921 
  17.921      3.542 
  15.361      2.567 
  16.589      2.874 
