3.3543	-3.43729
3.37777	-3.26587
3.40913	-3.01413
3.43084	-2.82841
3.44551	-2.68357
3.46429	-2.47007
3.48057	-2.26919
3.49303	-2.11087
3.50191	-1.94442
3.51344	-1.80477
3.52562	-1.65872
3.53927	-1.51113
3.55644	-1.35817
3.57798	-1.19835
3.60392	-1.04224
3.63138	-0.89276
3.66314	-0.74884
3.68201	-0.62272
3.7006	-0.50296
3.71732	-0.38957
3.73244	-0.28315
3.74667	-0.17329
3.75949	-0.07252
3.77155	0.02667
3.78286	0.12539
3.79407	0.24071
3.80209	0.29759
3.8111	0.38012
3.82024	0.45867
3.82976	0.53164
3.83906	0.60056
3.84898	0.66634
3.86016	0.72872
3.87244	0.78855
3.88503	0.84724
3.89108	0.87536
3.89689	0.90244
3.90265	0.92965
3.90811	0.95545
3.91376	0.98248
3.91911	1.00814
3.92411	1.0323
3.92921	1.05714
3.93405	1.08082
3.93889	1.10471
3.94368	1.12838
3.94823	1.151
3.95746	1.19711
3.96603	1.24048
3.97408	1.28233
3.98211	1.32391
3.9899	1.36399
3.99741	1.40362
4.00468	1.4415
4.01849	1.51454
4.04404	1.65118
4.06719	1.77689
4.08869	1.89363
4.10817	2.00156
4.12602	2.1016
4.14295	2.19643
4.15861	2.28455
4.17354	2.36852
4.18715	2.44613
4.20021	2.52069
4.21289	2.59286
4.22458	2.66017
4.23568	2.72432
4.24608	2.78481
4.25633	2.84419
4.26596	2.90032
4.27533	2.95491
4.28419	3.00682
4.29243	3.05578
4.30077	3.10458
4.32341	3.23881
4.35667	3.43708
4.38459	3.60618
4.40879	3.7543
4.43017	3.88635
4.44892	4.00361
4.48039	4.20368
