3.36466	-3.4194
3.39116	-3.23464
3.42696	-2.96598
3.44627	-2.78504
3.45974	-2.64396
3.47841	-2.42848
3.49477	-2.22701
3.50541	-2.07411
3.51396	-1.90705
3.5251	-1.7669
3.53732	-1.61703
3.55236	-1.46145
3.57147	-1.3017
3.59438	-1.1379
3.6214	-0.97941
3.6492	-0.82804
3.67747	-0.68903
3.69751	-0.56044
3.71622	-0.43937
3.73318	-0.32603
3.748	-0.21779
3.76183	-0.10909
3.77465	-0.00214
3.78597	0.09532
3.79581	0.18178
3.80568	0.27162
3.81544	0.35719
3.82432	0.43741
3.83405	0.51434
3.84399	0.587
3.8554	0.65409
3.86837	0.71944
3.88206	0.78055
3.89546	0.84075
3.9079	0.89672
3.92	0.95248
3.93132	1.00526
3.94222	1.05694
3.95219	1.10466
3.96195	1.15204
3.97144	1.19858
3.9803	1.24278
3.98868	1.28506
3.99674	1.32704
4.0047	1.36792
4.01236	1.40779
4.01981	1.44681
4.02699	1.4844
4.04058	1.55601
4.06557	1.69013
4.08816	1.81352
4.10878	1.92752
4.1277	2.03326
4.14522	2.13224
4.16151	2.22431
4.17674	2.31163
4.19106	2.39274
4.20476	2.47042
4.2171	2.54333
4.22943	2.6133
4.24095	2.68021
4.25149	2.74251
4.26185	2.80319
4.27153	2.86052
4.28096	2.91622
4.2897	2.96862
4.29847	3.02046
4.30688	3.07029
4.31452	3.11661
4.33657	3.24918
4.36841	3.44275
4.39578	3.61058
4.41929	3.7567
4.43998	3.88661
4.45791	4.00085
4.48899	4.20053
